obs,elapsed,date,treatment,crop,row,unique_id,KEEP,time,averaging,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,FLUOR.FlrLS:MN,FLUOR.FlrLS:SLP,FLUOR.FlrLS:SD,FLUOR.FlrLS:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
54,8663.4,10/15/24,p,radish,eleven,pr11.2,y,13:52:23,none,0.004260432,4.260431731,16.71890977,401.61,333.5408286,33.55173749,40.39899208,0.461776728,2.935513133,0.424887292,0.268622922,106.4605719,14.40138562,13.9119,1.595136373,35.17212632,0.5974667,1.698693718,0.997669672,-187.8850393,153.9230769,9.949111343,82.44772078,17,3,1,0,55293.81957,600.022,509.5609985,0.849237192,0.177427781,6,0.5,0: Broadleaf,2,1728931943,401.61,420.042,5.93947,1.70387,401.126,6.0035,599.933,100.51,0.082595,14.8845,13.9119,999.9,0,0,9983.12,0,0.00143338,600.022,0.692093,0.307907,0,2.0412,0,5158.97,4468.95,38.75,40.437,40.5,40.375,38.187,415.27,184.75,0,1728931924,0,1728931819,13:50:18,1728931808,1728931819,38,-0.008,-0.008,0.484,-0.064,420,1,0.2,0.02,-18.41204146,-0.001965157,0.051894118,1,,,,,4.278799024,-0.15625547,0.016045901,0,1,2,2-Jan,100,100,0.484,-0.064,0.484,0,0,0,-0.064024762,0,0,0,-1,-1,-1,-1,2.2,2.1,1.03027,2.51953,1.54785,2.33765,1.54785,2.25342,25.4706,13.668,18,563.653,447.096,12.0003,16.9386,29.9998,17.1792,17.1716,20.5802,80.0906,0,12,420,1.76427,102.988,103.341
55,8863.9,10/15/24,p,radish,eleven,pr11.2,y,13:55:43,none,0.003586294,3.586294324,14.27856079,404.309,336.2566334,33.82462878,40.67013251,0.38998209,2.938586181,0.363342688,0.229330804,70.9712713,14.2013643,13.7547,1.578930388,35.51154002,0.596799533,1.680579138,0.982130854,-158.1555797,152.6425436,9.839391556,75.29762677,19,3,1,0,55418.70841,400.006,339.6995031,0.849236019,0.177425517,6,0.5,0: Broadleaf,2,1728932144,404.309,420.039,5.93289,2.36754,403.827,6.012,599.944,100.51,0.0817071,14.7182,13.7547,999.9,0,0,10000.6,0,0.00142382,400.006,0.692135,0.307865,0,0.8687,0,3856.08,2979.28,37.937,40.5,40.187,39.125,37.562,276.86,123.15,0,1728932124,0,1728932075,13:54:35,1728932057,1728932075,39,-0.001,-0.015,0.483,-0.079,420,2,0.13,0.02,-15.720385,0.278841276,0.07236347,0,,,,,3.59214625,-0.142482664,0.013728201,0,0,2,0/2,100,100,0.482,-0.0791,0.48265,0,0,0,-0.079105,0,0,0,-1,-1,-1,-1,1.4,1.1,1.03027,2.51587,1.54785,2.33765,1.54785,2.28638,25.2249,13.6417,18,561.968,448.356,11.9991,16.7938,29.9999,16.9848,16.9674,20.5834,75.6435,0,12,420,2.43247,102.998,103.35
56,8989.9,10/15/24,p,radish,eleven,pr11.2,y,13:57:49,none,0.003113098,3.113098381,8.436514867,410.298,363.4232844,36.55571617,41.2707107,0.347526405,2.935882974,0.326183086,0.205672717,35.52521567,13.94385709,13.5475,1.557791064,36.58565952,0.608120801,1.662183514,0.949670263,-137.2876386,158.3109787,10.19404579,66.74260161,20,3,1,0,55369.68228,200.234,170.0451969,0.849232383,0.177418499,6,0.5,0: Broadleaf,2,1728932270,410.298,420.01,6.04571,2.95201,409.895,6.13271,600.112,100.506,0.0811603,14.5477,13.5475,999.9,0,0,9985.62,0,0.00142382,200.234,0.69226,0.30774,0,1.9352,0,2313.2,1491.43,37.125,40.125,39.687,38.75,36.875,138.61,61.62,0,1728932250,0,1728932230,13:57:10,1728932220,1728932230,40,-0.08,-0.008,0.402,-0.087,420,3,0.09,0.02,-9.590322683,-0.092352544,0.055813874,1,,,,,3.115137073,0.019435192,0.016219744,1,2,2,2-Feb,100,100,0.403,-0.087,0.4025,0,0,0,-0.0869995,0,0,0,-1,-1,-1,-1,0.8,0.7,1.03027,2.51709,1.54785,2.34009,1.54785,2.2937,25.0204,13.6242,18,561.054,449.428,11.9993,16.6993,29.9998,16.8803,16.8588,20.5901,71.7024,0,12,420,2.91495,103.003,103.358
57,9085.9,10/15/24,p,radish,eleven,pr11.2,y,13:59:25,none,0.002803615,2.803615493,3.900565349,414.999,388.3457749,39.06685366,41.74811792,0.317196963,2.936736414,0.299318459,0.188596324,17.74581346,13.75494914,13.3614,1.539016997,36.89630286,0.606797781,1.64460321,0.932219215,-123.6394432,161.7768258,10.39512637,66.27832243,20,3,1,0,55427.45631,100.001,84.92604925,0.849252,0.17745636,6,0.5,0: Broadleaf,2,1728932366,414.999,420.064,6.0319,3.24468,414.582,6.12288,599.889,100.517,0.0811169,14.3832,13.3614,999.9,0,0,9989.38,0,0.00143338,100.001,0.691558,0.308442,0,1.5022,0,1535.24,744.662,36.437,39.75,39.187,37.75,36.187,69.16,30.84,0,1728932346,0,1728932331,13:58:51,1728932323,1728932331,41,0.014,-0.004,0.416,-0.091,420,3,0.44,0.02,-4.928932927,0.098940418,0.033335524,1,,,,,2.788359512,0.078274495,0.009239833,1,2,2,2-Feb,100,100,0.417,-0.091,0.41635,0,0,0,-0.0909825,0,0,0,-1,-1,-1,-1,0.7,0.6,1.03027,2.52441,1.54785,2.34131,1.54785,2.1582,24.8163,13.6067,18,560.294,450.556,11.9991,16.6078,29.9996,16.7903,16.7651,20.5912,69.371,0,12,420,3.21038,103.014,103.369
58,9268.9,10/15/24,p,radish,eleven,pr11.2,y,14:02:28,none,0.002317014,2.317014334,1.400139289,417.661,402.7396027,40.50763865,42.0084361,0.26272956,2.939728714,0.250347033,0.157530774,8.908425833,13.57747265,13.1613,1.519052846,36.95881933,0.597958472,1.617904692,0.921094374,-102.1803321,153.5894168,9.835658952,70.15316946,20,3,1,0,55566.56943,50.212,42.64159846,0.849231229,0.177416272,6,0.5,0: Broadleaf,2,1728932549,417.661,420.029,5.94509,3.64172,417.265,6.03749,599.966,100.5,0.080222,14.1304,13.1613,999.9,0,0,10008.1,0,0.00132826,50.212,0.692301,0.307699,0,1.4439,0,979.062,374.006,35.125,38.875,38.125,36.375,35.062,34.76,15.45,0,1728932529,0,1728932427,14:00:26,1728932414,1728932427,42,-0.02,-0.001,0.397,-0.092,420,3,0.31,0.03,-2.333588049,0.084283693,0.033474674,1,,,,,2.30981878,-0.032536725,0.008401159,1,2,2,2-Feb,100,100,0.396,-0.0924,0.3966,0,0,0,-0.092402381,0,0,0,-1,-1,-1,-1,2.2,2,1.03027,2.51709,1.54785,2.34009,1.54785,2.2583,24.3884,13.5979,18,560.077,453.322,11.9987,16.3722,29.9997,16.5678,16.5457,20.5996,65.948,0,12,420,3.7228,103.039,103.403
59,9372.9,10/15/24,p,radish,eleven,pr11.2,y,14:04:12,none,0.002039251,2.039251186,-1.360574913,420.563,424.0784434,42.65116796,42.29760656,0.23591843,2.942028411,0.225889791,0.142046627,0,13.46342451,13.0282,1.505899817,37.87646611,0.607495745,1.603887076,0.898404073,-89.93097729,153.5350954,9.810758969,73.41487705,21,4,1,0,55662.168,0,0,0,0,6,0.5,0: Broadleaf,2,1728932653,420.563,420.06,6.0403,4.01313,420.197,6.13824,599.93,100.493,0.0807703,13.9962,13.0282,999.9,0,0,10021.9,0,0.00133782,0,0,0,0,1.98,0,715.86,3.88,34.375,38.312,37.5,36.125,34.375,0,0,0,1728932634,0,1728932617,14:03:37,1728932613,1728932617,43,-0.03,-0.006,0.366,-0.098,420,4,0.31,0.04,0.512000902,-0.012999345,0.060299711,1,,,,,2.036605366,0.073187875,0.017523712,1,2,2,2-Feb,100,100,0.366,-0.0979,0.36615,0,0,0,-0.0979375,0,0,0,-1,-1,-1,-1,0.7,0.6,1.03149,2.51587,1.54785,2.33765,1.54785,2.19727,24.1241,13.5804,18,558.903,454.4,11.9989,16.2092,29.9995,16.4186,16.396,20.605,63.8978,0,12,420,3.97517,103.06,103.422
60,9825.5,10/15/24,c,radish,north,crn,y,14:11:45,none,0.006443364,6.443364121,18.45085464,398.987,349.6053769,35.15694386,40.12284846,0.758302605,2.934788275,0.663973213,0.422476621,283.891227,15.1034505,14.3725,1.643465371,39.4002145,0.678856468,1.72297658,0.964608903,-284.1523577,115.8963738,7.51969181,123.1549348,10,2,1,0,55228.97576,1599.97,1358.7603,0.849241111,0.177435344,6,0.5,0: Broadleaf,2,1728933105,398.987,420.014,6.75064,0.349151,398.62,6.84857,599.848,100.481,0.0807939,15.105,14.3725,999.9,0,0,9981.88,0,0.00133782,1599.97,0.691962,0.308038,0,1.4842,0,13150.3,11916,37.562,38.5,38.375,37.312,36.562,1107.12,492.85,0,1728933086,0,1728932617,14:03:37,1728932613,1728932617,43,-0.03,-0.006,0.366,-0.098,420,4,0.31,0.04,-20.9700525,-0.08232833,0.049437521,1,,,,,6.386746,0.095825966,0.009474097,1,2,2,2-Feb,100,100,0.367,-0.0979,0.36615,0,0,0,-0.0979375,0,0,0,-1,-1,-1,-1,8.2,8.1,1.02661,2.51709,1.54785,2.34497,1.54785,2.1521,23.7588,13.4666,18,571.579,451.493,12.0027,16.097,30.0006,16.1716,16.1408,20.5194,100,0,12,420,0.015158,103.092,103.461
61,9918,10/15/24,c,radish,north,crn,y,14:13:17,none,0.006410826,6.41082556,18.14732003,399.302,350.4855,35.2479547,40.15737828,0.755036834,2.943010863,0.661691748,0.420978531,248.44275,14.93995859,14.3263,1.638560398,39.10466014,0.675403894,1.727169836,0.963156503,-282.7174072,129.5488307,8.381654495,103.6558281,10,2,1,0,55470.23594,1400.22,1189.1214,0.849238977,0.177431225,6,0.5,0: Broadleaf,2,1728933198,399.302,420.004,6.71583,0.34965,398.936,6.81377,600.15,100.487,0.0819385,15.1428,14.3263,999.9,0,0,10028.1,0,0.0011467,1400.22,0.692034,0.307966,0,1.6239,0,11821.7,10428.6,38,38.937,38.937,37.812,37,969,431.22,0,1728933179,0,1728932617,14:03:37,1728932613,1728932617,43,-0.03,-0.006,0.366,-0.098,420,4,0.31,0.04,-20.73105854,0.083303833,0.037199698,1,,,,,6.364273415,0.019618746,0.002472373,1,2,2,2-Feb,100,100,0.366,-0.0979,0.36615,0,0,0,-0.0979375,0,0,0,-1,-1,-1,-1,9.7,9.7,1.02539,2.51465,1.54785,2.34497,1.54785,2.30347,23.84,13.4578,18,572.046,450.714,12.0017,16.2351,30.0006,16.269,16.2279,20.505,100,0,12,420,0.015158,103.067,103.439
62,10096,10/15/24,c,radish,north,crn,y,14:16:15,none,0.006266724,6.266723508,17.78402126,399.737,349.8577668,35.18559214,40.20200315,0.720550143,2.936356082,0.634853356,0.40363036,212.954514,14.87567174,14.4083,1.647275065,38.28785104,0.665940811,1.739300569,0.981334253,-276.3625067,133.5142929,8.666412432,78.77271263,9,1,1,0,55248.35003,1200.21,1019.265,0.849238883,0.177431045,6,0.5,0: Broadleaf,2,1728933376,399.737,420.024,6.62159,0.396995,399.199,6.66266,600.061,100.489,0.0821334,15.2517,14.4083,999.9,0,0,9990,0,0.00143338,1200.21,0.692041,0.307959,0,1.2628,0,9971.41,8939.01,38.562,39.687,39.812,38.562,37.625,830.59,369.62,0,1728933357,0,1728933269,14:14:28,1728933254,1728933269,44,0.172,0.057,0.538,-0.041,420,0,0.07,0.02,-20.26479512,0.044761672,0.044568232,1,,,,,6.24035561,-0.095694774,0.009649871,1,2,2,2-Feb,100,100,0.538,-0.0411,0.538,0,0,0,-0.041063095,0,0,0,-1,-1,-1,-1,2,1.8,1.02417,2.50977,1.54785,2.34497,1.54785,2.26562,24.1241,13.4228,18,572.29,450.24,12.0013,16.5211,30.0005,16.4969,16.4434,20.4705,100,0,12,420,0,103.027,103.392
63,10226,10/15/24,c,radish,north,crn,y,14:18:25,none,0.005946537,5.946536998,17.24445937,400.316,347.8552585,34.98665694,40.26306407,0.656234331,2.944921337,0.584523699,0.371115101,177.431901,14.78633428,14.3883,1.645145789,36.33947071,0.633523999,1.74334955,1.011621789,-262.2422816,142.8264326,9.244682414,67.26073435,9,2,1,0,55500.2694,1000.01,849.2469,0.849238408,0.177430127,6,0.5,0: Broadleaf,2,1728933506,400.316,419.942,6.29882,0.389424,399.778,6.33988,599.968,100.496,0.0822034,15.2879,14.3883,999.9,0,0,10038.1,0,0.00143338,1000.01,0.692051,0.307949,0,0.7503,0,10194.4,7447.95,38.875,40.25,40.187,39.25,38,692.06,307.95,0,1728933486,0,1728933269,14:14:28,1728933254,1728933269,44,0.172,0.057,0.538,-0.041,420,0,0.07,0.02,-19.67419268,0.033880139,0.062874456,1,,,,,5.92909561,-0.099908153,0.009929063,1,2,2,2-Feb,100,100,0.538,-0.0411,0.538,0,0,0,-0.041063095,0,0,0,-1,-1,-1,-1,4.2,4,1.02295,2.51221,1.54785,2.34497,1.54785,2.15088,24.3681,13.3878,18,572.456,449.411,12.0009,16.7204,30.0006,16.677,16.6203,20.4596,100,0,12,420,0,103.004,103.364
64,10331.5,10/15/24,c,radish,north,crn,y,14:20:11,none,0.005676469,5.676468888,16.45305943,401.252,347.4082098,34.94068489,40.35604024,0.605821745,2.937396414,0.544012094,0.345033894,141.9436388,14.75219538,14.3978,1.646156893,34.66395771,0.608471513,1.755343454,1.03768538,-250.332278,157.8699966,10.25079558,59.73215306,9,2,1,0,55252.40525,799.975,679.3715538,0.849240981,0.177435093,6,0.5,0: Broadleaf,2,1728933611,401.252,419.988,6.04991,0.406203,400.714,6.09097,599.832,100.492,0.0832999,15.3947,14.3978,999.9,0,0,9995.62,0,0.00152894,799.975,0.691967,0.308033,0,1.6748,0,8958.67,5957.94,38.937,40.75,40.562,40,38.25,553.56,246.42,0,1728933592,0,1728933269,14:14:28,1728933254,1728933269,44,0.172,0.057,0.538,-0.041,420,0,0.07,0.02,-18.8198475,-0.073484803,0.034686193,1,,,,,5.6618245,-0.099609231,0.009667714,1,2,2,2-Feb,100,100,0.538,-0.0411,0.538,0,0,0,-0.041063095,0,0,0,-1,-1,-1,-1,6,5.7,1.02295,2.51221,1.54785,2.33643,1.54785,2.16797,24.6328,13.3703,18,572.665,449.27,12.0018,16.9161,30.0009,16.8513,16.7964,20.4484,100,0,12,420,0,102.978,103.332
65,10532,10/15/24,c,radish,north,crn,y,14:23:31,none,0.004942587,4.942586844,15.34256166,402.684,345.1818749,34.71252444,40.49511057,0.518211675,2.938290052,0.472274312,0.29895865,106.4587732,14.66895813,14.2983,1.635593953,34.02787781,0.594823098,1.748046414,1.040770855,-217.9680798,163.3989797,10.59749573,62.48716884,8,1,1,0,55291.54167,599.985,509.5320462,0.849241308,0.177435725,6,0.5,0: Broadleaf,2,1728933812,402.684,420.011,5.91493,1.00324,402.146,5.97593,600.203,100.48,0.0829987,15.3298,14.2983,999.9,0,0,10001.9,0,0.00152894,599.985,0.691958,0.308042,0,1.4506,0,4843.25,4468.46,38.875,41.5,40.937,40.687,38.375,415.16,184.82,0,1728933792,0,1728933852,14:24:12,1728933254,1728933852,45,0.172,-0.02,0.538,-0.061,420,1,0.07,0.02,-17.36840488,0.170042509,0.055510148,0,,,,,4.968039756,-0.193202927,0.019604819,0,0,2,0/2,100,100,0.538,-0.061,0.538,0,0,0,-0.041063095,0,0,0,-1,-1,-1,-1,9.3,9.1,1.02173,2.50366,1.54785,2.34131,1.54785,2.30103,25.1635,13.3265,18,573.603,447.698,11.999,17.2753,30.0005,17.1987,17.1356,20.4349,86.8918,0,12,420,1.08621,102.931,103.277
66,10756.5,10/15/24,c,radish,north,crn,y,14:27:16,none,0.004142966,4.142966176,12.80578642,405.613,350.3755936,35.23465144,40.78946405,0.446198557,2.938377963,0.411687283,0.260182455,70.97740497,14.36795798,13.9462,1.598691783,34.85990566,0.597744604,1.714705169,1.000947178,-182.7048084,171.7205947,11.09909448,71.0922858,8,1,1,0,55351.68775,400.023,339.7155553,0.849240057,0.17743331,6,0.5,0: Broadleaf,2,1728934036,405.613,420.1,5.94401,1.82545,404.995,6.01577,599.968,100.479,0.0835166,15.0302,13.9462,999.9,0,0,10002.5,0,0.00143338,400.023,0.692001,0.307999,0,1.4069,0,3330.32,2979.27,38.375,41.25,40.625,40.812,38.062,276.82,123.21,0,1728934017,0,1728933925,14:25:24,1728933907,1728933925,46,0.08,-0.01,0.618,-0.072,420,1,0.1,0.02,-14.331075,0.039912946,0.048095815,1,,,,,4.12673525,-0.080867505,0.011731734,1,2,2,2-Feb,100,100,0.618,-0.0718,0.618,0,0,0,-0.071757619,0,0,0,-1,-1,-1,-1,2.1,1.9,1.02417,2.51099,1.54785,2.34131,1.54785,2.1875,25.3477,13.2477,18,573.739,449.361,11.9986,17.3084,29.9998,17.3203,17.2627,20.4632,80.2549,0,12,420,1.90758,102.927,103.271
67,10924.5,10/15/24,c,radish,north,crn,y,14:30:04,none,0.003704052,3.704052443,7.259321851,411.22,374.6994513,37.68461078,41.35758831,0.406835284,2.937454688,0.377924841,0.238629089,35.47121233,14.14814812,13.7493,1.578376275,35.46838862,0.603349907,1.701091959,0.975026368,-163.3487127,183.2430505,11.82775922,67.19330931,8,1,1,0,55347.80913,199.903,169.7665477,0.849244622,0.177442121,6,0.5,0: Broadleaf,2,1728934204,411.22,420.003,5.99913,2.31709,410.68,6.08387,599.966,100.489,0.0839009,14.9064,13.7493,999.9,0,0,9996.25,0,0.00152894,199.903,0.691859,0.308141,0,1.69,0,2984.97,1488.75,37.625,41,40.187,40.812,37.562,138.3,61.6,0,1728934185,0,1728934127,14:28:46,1728934120,1728934127,47,-0.078,-0.013,0.54,-0.085,420,2,0.21,0.02,-8.742795,-0.077019062,0.040216658,1,,,,,3.69452025,-0.073871707,0.007160261,1,2,2,2-Feb,100,100,0.54,-0.0847,0.53985,0,0,0,-0.084742381,0,0,0,-1,-1,-1,-1,1.4,1.3,1.02539,2.51343,1.54785,2.34131,1.54785,2.16187,25.4091,13.1952,18,573.527,450.589,12.0008,17.2098,30,17.2722,17.2293,20.4859,77.5942,0,12,420,2.27176,102.938,103.285
68,11028.5,10/15/24,c,radish,north,crn,y,14:31:48,none,0.003532437,3.53243656,2.880697693,415.712,397.2197879,39.95006796,41.80990765,0.397376104,2.939588814,0.369764035,0.233423273,17.75639535,13.94076523,13.5636,1.559424682,36.14147761,0.608974854,1.684974978,0.950449828,-155.7804523,189.3983869,12.19494455,63.56927456,9,1,1,0,55440.83035,100.086,84.99590309,0.849228694,0.17741138,6,0.5,0: Broadleaf,2,1728934308,415.712,420.06,6.05498,2.54488,415.149,6.14288,600.162,100.492,0.082214,14.7587,13.5636,999.9,0,0,10008.1,0,0.00152894,100.086,0.692364,0.307636,0,1.7516,0,1857.05,745.511,37.062,40.875,39.937,39.812,37,69.3,30.79,0,1728934289,0,1728934270,14:31:10,1728934252,1728934270,48,0.023,-0.003,0.563,-0.088,420,2,0.55,0.03,-4.252726,-0.07019212,0.042341404,1,,,,,3.50537075,0.028119287,0.017504338,1,2,2,2-Feb,100,100,0.563,-0.0879,0.5628,0,0,0,-0.087901429,0,0,0,-1,-1,-1,-1,0.9,0.6,1.02539,2.50366,1.54785,2.34253,1.54785,2.21558,25.4091,13.1601,18,573.056,449.884,11.9985,17.1843,29.9999,17.2639,17.2206,20.4967,76.1435,0,12,420,2.5209,102.94,103.285
69,11128.5,10/15/24,c,radish,north,crn,y,14:33:28,none,0.003324012,3.324011701,0.409969635,418.128,410.1563508,41.25301168,42.05479016,0.38056665,2.939658765,0.355161713,0.224117123,8.882878741,13.7814847,13.3958,1.542472258,36.65374034,0.611219055,1.66754893,0.931253203,-146.588916,190.4647292,12.2422562,65.00094814,9,2,1,0,55474.09397,50.067,42.5185523,0.849233074,0.177419832,6,0.5,0: Broadleaf,2,1728934408,418.128,419.928,6.07702,2.7729,417.542,6.1668,599.944,100.496,0.0827466,14.5976,13.3958,999.9,0,0,10008.1,0,0.00152894,50.067,0.692301,0.307699,0,1.3054,0,1279.74,372.927,36.5,40.375,39.375,39.5,36.5,34.66,15.41,0,1728934389,0,1728934369,14:32:49,1728934362,1728934369,49,0.023,-0.002,0.586,-0.09,420,3,0.36,0.02,-1.84021625,0.045864653,0.04806894,1,,,,,3.31460125,0.045029606,0.019287934,1,2,2,2-Feb,100,100,0.586,-0.0898,0.586,0,0,0,-0.089781429,0,0,0,-1,-1,-1,-1,0.8,0.7,1.02661,2.50854,1.54785,2.34253,1.54785,2.27783,25.2862,13.1251,18,572.587,450.94,11.999,17.0899,29.9998,17.1994,17.1584,20.513,74.5581,0,12,420,2.71355,102.95,103.297
70,11228.5,10/15/24,c,radish,north,crn,y,14:35:08,none,0.003192716,3.192716451,-1.875033176,420.617,423.0527515,42.55276227,42.30776221,0.367571359,2.934053728,0.343771503,0.216866966,0,13.64789808,13.2867,1.531537286,36.68744911,0.607304084,1.655345626,0.924233202,-140.7987955,189.3739395,12.18120177,60.75634578,9,1,1,0,55326.54637,0,0,0,0,6,0.5,0: Broadleaf,2,1728934508,420.617,420.085,6.03772,2.86501,420.04,6.13051,600.138,100.502,0.083003,14.4839,13.2867,999.9,0,0,9975.62,0,0.00152894,0,0,0,0,2.47,0,847.84,0.2,35.875,40,38.875,38.875,35.937,0,0,0,1728934489,0,1728934467,14:34:26,1728934459,1728934467,50,-0.009,-0.003,0.577,-0.093,420,3,0.74,0.03,0.583534975,0.027731741,0.061255061,1,,,,,3.17515375,0.083407092,0.011397632,1,2,2,2-Feb,100,100,0.577,-0.0928,0.577380952,0,0,0,-0.0927885,0,0,0,-1,-1,-1,-1,0.8,0.7,1.02661,2.50977,1.54785,2.34253,1.54785,2.2876,25.1431,13.0988,18,572.842,451.315,11.9992,16.9869,29.9997,17.1174,17.0814,20.524,73.4889,0,12,420,2.87248,102.964,103.314
71,11777.4,10/15/24,c,radish,center,crc.2,y,14:44:17,none,0.005180005,5.180005398,21.26351322,392.687,299.0882287,30.08051796,39.49412657,0.49965901,2.939378088,0.456820896,0.289055215,283.887315,15.64539849,15.0575,1.717719961,33.80121555,0.590371754,1.74659918,1.127348208,-228.4382381,41.10653474,2.675412632,99.23102432,11,2,1,0,55327.13107,1599.96,1358.7507,0.849240419,0.177434008,6,0.5,0: Broadleaf,2,1728935057,392.687,419.987,5.87002,0.719975,392.11,5.96281,599.948,100.492,0.0820617,15.3169,15.0575,999.9,0,0,10006.9,0,0.00133782,1599.96,0.691986,0.308014,0,1.6511,0,13128,11916,39.562,39.437,40,39.125,38.375,1107.15,492.81,0,1728935038,0,1728934467,14:34:26,1728934459,1728934467,50,-0.009,-0.003,0.577,-0.093,420,3,0.74,0.03,-27.37786829,0.606382578,0.071879688,0,,,,,5.242087317,-0.462877422,0.046149845,0,0,2,0/2,100,100,0.577,-0.0928,0.577380952,0,0,0,-0.0927885,0,0,0,-1,-1,-1,-1,10,9.8,1.02661,2.50732,1.54785,2.34253,1.54785,2.27905,24.7959,12.7398,18,569.938,450.172,12.0004,16.5658,30.0001,16.6949,16.6629,20.5304,88.1394,0,12,420,0.878614,103.002,103.355
72,11977.9,10/15/24,c,radish,center,crc.2,y,14:47:37,none,0.004026454,4.026453964,21.34050065,394.149,277.6457985,27.92353707,39.6405574,0.374123899,2.938921534,0.349536337,0.220534507,248.411847,15.95781238,15.2777,1.74220784,33.70728417,0.597145303,1.7715616,1.145062537,-177.5666198,41.25859306,2.691901574,114.7957218,12,2,1,0,55270.92068,1400.03,1188.9615,0.849240016,0.177433231,6,0.5,0: Broadleaf,2,1728935258,394.149,420.07,5.93746,1.93592,393.786,6.01846,600.151,100.491,0.081518,15.5381,15.2777,999.9,0,0,10004.4,0,0.00143338,1400.03,0.692003,0.307997,0,1.9186,0,14182.9,10427.1,40.187,40,40.812,39.75,39,968.82,431.21,0,1728935238,0,1728935290,14:48:09,1728935286,1728935290,51,-0.214,0.012,0.363,-0.081,420,2,0.06,0.02,-25.68408,0.433981238,0.075199888,0,,,,,4.03944825,-0.293438837,0.028757028,0,0,2,0/2,100,100,0.363,-0.081,0.577380952,0,0,0,-0.0927885,0,0,0,-1,-1,-1,-1,13.3,13.2,1.02783,2.51221,1.54785,2.34253,1.54785,2.17773,24.9183,12.591,18,569.136,451.268,12.0017,16.5764,30.0003,16.6615,16.6283,20.5361,78.4464,0,12,420,2.00626,102.994,103.341
73,12210.9,10/15/24,c,radish,center,crc.2,y,14:51:30,none,0.003231701,3.231701278,21.65949925,396.167,257.5362235,25.90092444,39.84329425,0.286370622,2.935603375,0.271706689,0.17107158,212.919261,16.27533919,15.6023,1.778864995,33.00411133,0.596781981,1.808204967,1.182083014,-142.5180264,40.45234208,2.651146759,113.5047235,13,2,1,0,55109.76223,1200,1019.0877,0.84923975,0.177432718,6,0.5,0: Broadleaf,2,1728935491,396.167,420.104,5.93388,2.72173,395.731,6.01706,600.07,100.49,0.0819665,15.8579,15.6023,999.9,0,0,9985.62,0,0.00143338,1200,0.692005,0.307995,0,1.9558,0,12980.1,8937.32,40.75,41.125,41.75,40.687,39.625,830.41,369.59,0,1728935472,0,1728935366,14:49:25,1728935352,1728935366,52,0.073,-0.002,0.436,-0.083,420,2,0.07,0.02,-24.0045,0.379479174,0.057530761,0,,,,,3.2366745,-0.170765178,0.016856348,0,0,2,0/2,100,100,0.436,-0.0832,0.436380952,0,0,0,-0.0831775,0,0,0,-1,-1,-1,-1,2.3,2.1,1.02661,2.51221,1.54785,2.34131,1.54785,2.20947,25.4501,12.4071,18,568.586,450.884,12.0015,16.8536,30.0006,16.859,16.8145,20.5258,74.409,0,12,420,2.79908,102.957,103.292
