obs,elapsed,date,treatment,crop,row,unique_id,KEEP,time,averaging,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,gsw:MN,gsw:SLP,gsw:SD,gsw:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
81,11340,10/16/24,p,radicchio,eleven,pd11.2,y,10:01:26,15,0.000986492,0.986492233,5.403174613,191.5696333,132.4194616,13.42646303,19.42390165,0.156562005,3.122499163,0.149503366,0.094048433,284.7582116,15.33668596,14.68689333,1.677188045,63.4555054,1.017036268,1.602754972,0.660151777,-43.50430749,-118.1035388,-7.172045502,115.9783198,9,2,1,0,56014.91468,1599.990333,1361.127749,0.850709983,0.177974958,9,33,0: Broadleaf,2,1729008079,191.5696333,199.9521667,10.03059367,8.566693667,189.2901667,10.23775367,600.4081,101.2961,0.097327107,13.98531667,14.68689333,999.9,0,0,10004.35033,399.8100667,1050.0275,-8.38255,193.5097,201.6798,1.463901867,199.9521667,8.566693667,1.016058567,0.8677721,7.134326333,4.865805333,1599.990333,0.643000567,0.356999433,16.99861,26722.86667,1729008070,10:01:09,1729008060,1729008070,82,-0.713,-0.002,2.283,-0.218,200,8,0.25,0.04,0,0,0,0,0,0,0,3.2445,2.77883,0.0524925,0.056054,0.0683133,0.0595696,24428.9,23898.4,24745.7,22519.9,34127.8,26997.9,40512.1,31165.8,2.3278,2.05233,0.0732914,0,13.4821,999.9,68.2,18.9,14.7549,64.2437,14.6875,1,-0.75736,1.56461,20.3677,5.23391,11.9321,4.9805,3.282,9999,9999,9999,999.9,4.97142,1.8605,1.86594,1.85688,1.86171,1.86225,1.8631,1.85898,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.28,-0.2051,2.181357119,0.000678439,-9.11E-07,3.42E-10,-0.196224501,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.5,0.3,0.584717,2.35229,1.50024,2.30469,1.4502,2.46582,22.4049,14.85,19,592.178,429.429,12.0018,16.8563,30.0011,16.6505,16.6231,11.762,43.6845,32.8785,12,200,8.46443,102.389,102.256
139,19587.4,10/17/24,p,radish,ten,pr10,n,13:08:35,15,0.00102457,1.02457042,5.53996707,991.949636,866.042682,88.4822172,101.345933,0.08416661,3.35433451,0.08222259,0.05156021,284.757477,13.3256314,12.7075091,1.47461953,14.9923845,0.2120138,1.41414327,1.26260574,-45.183555,-115.26013,-6.3840367,117.929757,27,4,1,0,56957.3789,1599.98546,1361.12365,0.85071002,0.17797504,7.5,33,0: Broadleaf,2,1729105713,991.949636,1000.12973,2.07514009,0.79946618,988.572546,2.18343846,601.120091,102.070546,0.0978801,12.0701455,12.7075091,999.9,0,0,10029.1455,403.042818,94.9457364,-8.1793052,994.004727,1000.93,1.27567653,1000.12973,0.79946618,0.21181098,0.08160194,-15.946171,-24.931764,1599.98546,0.64299946,0.35700055,15,26722.7546,1729105710,13:08:30,1729105696,1729105710,135,0.265,0.002,3.377,-0.099,1000,1,0.1,0.02,0,0,0,0,0,0,0,3.24451,2.7746,0.180959,0.186478,0.0364593,0.0095375,21124.8,20573.8,24753.7,22494.3,35320.3,28419.7,40519.2,31119,2.289,1.97135,0.0277571,0,12.2452,999.9,24.4,27.7,8.91357,64.2612,15.4848,1,-0.757185,1.90643,20.3661,5.23107,11.9318,4.98015,3.2816,9999,9999,9999,999.9,4.97153,1.86089,1.86634,1.8576,1.86204,1.86264,1.86342,1.85945,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.38,-0.1192,3.26739329,0.00067844,-9.11E-07,3.42E-10,-0.0910457,-0.0102945,0.00093241,-3.20E-06,1,2092,0,27,0.3,0.1,2.15088,2.40723,1.50024,2.27173,1.4502,2.46094,28.7112,13.5366,19,570.215,387.824,9.9994,16.9139,30,17.0066,17.0025,43.0525,71.2115,0,10,1000,1.07478,102.413,102.118
45,7314,10/17/24,p,radicchio,eight,pd8,y,9:44:02,15,0.00076771,0.76770898,5.69557441,392.483909,261.714099,26.733659,40.0915772,0.07405961,3.34375917,0.07254547,0.0454745,284.758273,14.2197947,13.5105864,1.55405123,32.3977105,0.48385432,1.49348307,1.07019691,-33.855966,-109.77957,-6.1522627,134.970476,10,2,1,0,56552.1683,1599.99091,1361.12822,0.85070997,0.17797493,7.5,33,0: Broadleaf,2,1729093436,392.483909,399.972818,4.73678136,3.78260818,389.632227,4.89396136,600.576909,102.05,0.09833334,12.9016091,13.5105864,999.9,0,0,9987.12773,396.404409,998.631182,-7.4888808,394.349046,401.491455,0.9541738,399.972818,3.78260818,0.48338932,0.38601541,-3.3773123,-6.2292514,1599.99091,0.64300091,0.35699909,17,26722.8727,1729093431,9:43:51,1729093428,1729093431,43,-0.304,-0.003,2.853,-0.155,400,4,0.14,0.06,0,0,0,0,0,0,0,3.24451,2.77792,0.0952038,0.0991015,0.0415483,0.0318707,23306.7,22792.4,24726.8,22506.9,35093.3,27786.6,40477.5,31143.2,2.31395,2.03385,0.0447184,0,12.7766,999.9,29.5,21.7,7.53169,64.3581,13.6699,1,-0.715363,2.18851,20.3597,5.23122,11.9321,4.98,3.28153,9999,9999,9999,999.9,4.97154,1.86081,1.8663,1.85744,1.86203,1.86263,1.8634,1.85941,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.851,-0.1586,2.70559134,0.00067844,-9.11E-07,3.42E-10,-0.1296016,-0.0102945,0.00093241,-3.20E-06,1,2092,0,27,0.2,0.2,1.00708,2.35718,1.50024,2.29736,1.4502,2.54639,26.3753,15.1915,19,592.029,426.24,10.0017,17.3668,30.0007,17.3816,17.3855,20.1884,42.9515,0,10,400,3.76643,102.305,102.188
56,8145,10/16/24,p,radicchio,ten,pd10.2,y,9:08:11,15,0.000964789,0.964789335,5.741820731,191.1014667,142.3715056,14.43026527,19.36935939,0.204020254,3.121625652,0.192196701,0.121130536,284.7603486,14.17949612,12.82467333,1.485980856,66.19175242,0.983389627,1.485667913,0.502591229,-42.54720966,-0.541342748,-0.03236641,241.6394298,45,7,1,0,56220.58238,1600.001667,1361.137439,0.850710013,0.177975033,9,33,0: Broadleaf,2,1729004884,191.1014667,199.9883667,9.702293,8.269535333,188.6936,9.918439667,600.1613667,101.2591333,0.097280763,12.82145667,12.82467333,999.9,0,0,10003.998,401.5522333,493.9830667,-8.886941333,192.9737333,201.656,1.432758,199.9883667,8.269535333,0.982446533,0.837366533,6.658610667,4.356878333,1600.001667,0.642999567,0.357000433,14,26723.05333,1729004863,9:07:42,1729004857,1729004863,56,-0.686,-0.004,2.411,-0.225,200,8,0.3,0.07,0,0,0,0,0,0,0,3.24675,2.77946,0.0528374,0.0563224,0.0654585,0.0579149,24493.1,23966.9,24813.1,22585.5,34322.5,27126.1,40616.8,31259.3,2.29382,2.1069,0.0444055,0,12.041,999.9,62.8,15.9,11.2446,63.9954,14.2107,1,-0.884205,0.616566,20.3742,5.23526,11.9286,4.9817,3.282,9999,9999,9999,999.9,4.97138,1.86032,1.86573,1.85669,1.86157,1.86218,1.86298,1.85883,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.408,-0.2164,2.310034499,0.000678439,-9.11E-07,3.42E-10,-0.202645832,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.6,0.5,0.5896,2.35596,1.50024,2.31079,1.4502,2.4707,19.0933,15.2353,19,548.547,444.479,11.997,15.1717,29.9999,15.0241,14.9843,11.8244,30.4429,57.775,12,200,8.14804,102.659,102.559
126,17343.5,10/17/24,p,radicchio,ten,pd10.2,n,12:31:11,15,0.00078666,0.78665468,5.77563485,1391.39546,1229.89699,125.728236,142.237681,0.06855001,3.34578776,0.06725151,0.04214691,284.758364,14.9810638,14.1751364,1.62260142,27.952904,0.43889242,1.57011385,1.183709,-34.691471,-91.371351,-5.1560143,153.539527,12,2,1,0,56448.3399,1599.98909,1361.12707,0.85071022,0.17797519,7.5,33,0: Broadleaf,2,1729103469,1391.39546,1399.96818,4.29332727,3.31594091,1387.82182,4.45628727,601.049909,102.127182,0.09945748,13.6685818,14.1751364,999.9,0,0,9988.01636,395.854364,107.029546,-8.5741664,1397.38727,1404.62636,0.9773867,1399.96818,3.31594091,0.43846564,0.33864773,-4.8213112,-7.9179264,1599.98909,0.642998,0.35700218,20,26722.8,1729103466,12:31:06,1729103455,1729103466,123,0.156,0.002,3.574,-0.16,1400,3,0.06,0.03,0,0,0,0,0,0,0,3.24272,2.77568,0.222887,0.228452,0.0462027,0.0290676,19973.1,19457.2,24672.7,22435,34852.8,27777.8,40395.6,31038.8,2.27715,1.92545,0.00678375,0,14.0558,999.9,42.8,28.3,16.1836,64.4116,16.5705,1,-0.588755,3.43724,20.3359,5.23122,11.9321,4.97925,3.28118,9999,9999,9999,999.9,4.97153,1.86108,1.86659,1.85776,1.8622,1.86279,1.86356,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.58,-0.1643,3.47266243,0.00067844,-9.11E-07,3.42E-10,-0.1356926,-0.0102945,0.00093241,-3.20E-06,1,2092,0,27,0.3,0.1,2.83203,2.40234,1.50024,2.27295,1.4502,2.38892,31.6736,13.8518,19,589.531,382.418,9.9954,19.2293,30,19.2205,19.2217,56.6867,68.8591,0,10,1400,3.36203,102.092,101.853
98,16704.5,10/15/24,p,radish,eleven,pr11.2,y,11:48:00,15,0.001179473,1.179473106,6.209508432,190.3383226,135.405689,13.62356019,19.15049221,0.195947676,3.103606729,0.184955682,0.116535676,284.7606225,14.936956,14.4958129,1.656620534,65.37270987,1.023551994,1.565717554,0.63306854,-52.01476399,-145.625426,-8.871635842,78.2487967,56,9,1,0,55602.60604,1600.004194,1361.139518,0.850709969,0.177974923,9,33,0: Broadleaf,2,1728928073,190.3383226,199.9867742,10.17316774,8.422420968,187.8253226,10.33687742,600.1591613,100.513,0.0999084,13.62548065,14.4958129,999.9,0,0,9995.157742,404.68,241.941871,-8.907393871,193.0433871,201.6855484,1.750752258,199.9867742,8.422420968,1.022535806,0.846562387,7.241498387,4.512986452,1600.004194,0.643001032,0.356998968,16,26723.10645,1728928106,11:48:26,1728928106,1728916237,96,-0.745,-0.037,2.513,-0.179,200,4,0.2,0.02,0,0,0,0,0,0,0,3.24409,2.78148,0.0517779,0.0554452,0.0666806,0.0581491,24456.4,23926.3,24757.7,22534,34208.5,27061.3,40535.5,31190.6,2.22272,2.00003,0.0744648,0,13.2393,999.9,40.3,23.8,11.8646,63.6209,16.0817,1,-0.717698,1.33714,20.3737,5.23391,11.9321,4.98035,3.282,9999,9999,9999,999.9,4.97152,1.86076,1.86616,1.8573,1.86191,1.86249,1.86331,1.85928,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.513,-0.1638,3.15664014,0.000678439,-9.11E-07,3.42E-10,-0.153384799,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,2,197.4,0.592041,2.38159,1.50024,2.29858,1.4502,2.48779,25.6346,14.1758,19,535.843,410.661,11.9983,17.5893,29.9989,17.7769,17.78,11.8736,30.7255,0,12,200,8.44783,102.445,102.33
94,13416.9,10/16/24,p,radicchio,nine,pd9,y,10:36:03,15,0.000965222,0.96522206,6.286838411,190.257,127.8046102,12.96470886,19.29998152,0.172342931,3.12195135,0.163827971,0.103123971,284.7597114,14.11691203,13.54295667,1.557330338,65.36218881,0.967105207,1.47960958,0.590225131,-42.56629285,-131.9370285,-7.914772701,102.3416173,33,5,1,0,56242.82106,1599.998333,1361.134585,0.850710002,0.177975005,9,33,0: Broadleaf,2,1729010156,190.257,199.9606333,9.533612,8.09989,187.9290667,9.749570333,600.1289,101.3434667,0.098170277,12.75906667,13.54295667,999.9,0,0,9997.165,402.2606667,714.5349667,-9.703631333,192.0883667,201.5935,1.433722333,199.9606333,8.09989,0.966169833,0.8208713,6.415903333,4.073384,1599.998333,0.642999933,0.357000067,13,26722.99333,1729010142,10:35:41,1729010135,1729010142,94,-0.626,-0.004,2.331,-0.225,200,8,0.12,0.06,0,0,0,0,0,0,0,3.24606,2.77788,0.0525364,0.0561896,0.0647916,0.0569977,24482.1,23933.7,24796.3,22552.9,34326.6,27110.5,40592.1,31210,2.29837,2.06275,0.103991,0,11.7997,999.9,42.2,20.8,10.265,63.4835,14.8157,1,-0.845595,0.284243,20.378,5.23496,11.9261,4.9809,3.282,9999,9999,9999,999.9,4.97145,1.86056,1.86603,1.85713,1.86183,1.86236,1.86321,1.85913,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.328,-0.2158,2.230295219,0.000678439,-9.11E-07,3.42E-10,-0.201257091,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.5,0.4,0.5896,2.37915,1.50024,2.2998,1.4502,2.45728,23.7791,14.5873,19,563.83,429.279,11.9998,15.7479,29.9993,16.0006,16.0079,11.8385,17.7557,10.2182,12,200,7.98674,102.594,102.403
62,9439.5,10/17/24,p,radicchio,eight,pd8.2,n,10:19:27,15,0.00060012,0.60011559,6.63315416,791.6386,593.068798,60.5998986,80.8898041,0.05758404,3.34646434,0.05666507,0.03549707,284.757251,13.9270348,13.043125,1.50736971,29.7996846,0.43551079,1.46146106,1.07185893,-26.465097,-85.211613,-4.7516291,168.328912,82,14,1,0,56679.63,1599.9855,1361.1236,0.85070996,0.1779749,7.5,33,0: Broadleaf,2,1729095562,791.6386,800.5147,4.262183,3.516008,788.2703,4.4103305,600.62095,102.082,0.09821726,12.570815,13.043125,999.9,0,0,9995.2525,396.89315,860.0804,-8.8760905,795.0234,803.33925,0.74617435,800.5147,3.516008,0.4350915,0.35892075,-4.7701655,-7.1718225,1599.9855,0.6430014,0.3569986,16,26722.845,1729095558,10:19:18,1729095556,1729095558,60,1.351,-0.001,3.367,-0.146,801,3,0.15,0.07,0,0,0,0,0,0,0,3.2426,2.77761,0.156634,0.161172,0.0384422,0.0299031,21682.3,21177.6,24682.1,22462.3,35148.4,27789.3,40407.9,31080.4,2.15737,2.00955,0.0212304,0,12.7018,999.9,30.9,22.3,8.18103,64.3342,14.2668,1,-0.620775,2.56798,20.3558,5.23361,11.9321,4.97975,3.282,9999,9999,9999,999.9,4.97149,1.86087,1.86632,1.85745,1.86207,1.86264,1.86342,1.85944,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.369,-0.1498,3.23221739,0.00067844,-9.11E-07,3.42E-10,-0.121122,-0.0102945,0.00093241,-3.20E-06,1,2092,0,27,0.2,0.2,1.77368,2.36694,1.50024,2.2937,1.4502,2.51831,26.7888,14.9463,19,503.252,423.1,10.0014,18.4856,30.0007,18.5302,18.5264,35.5176,49.6219,0,10,800,3.49437,102.126,101.984
19,2334.5,10/15/24,p,radish,south,prs,y,7:48:30,15,0.001773894,1.773893544,6.896969865,189.1584,157.9579476,15.93118811,19.07797676,0.408547122,3.109645666,0.363655195,0.230921125,284.7604987,11.25979438,10.75982333,1.296627756,65.28332294,0.809788665,1.240421946,0.486839091,-78.22870527,-111.3322816,-6.515522566,88.68398924,252,42,1,0,56451.79085,1600.002667,1361.13832,0.850710032,0.177975015,9,33,0: Broadleaf,2,1728913703,189.1584,200.0035667,8.029065667,5.390467333,184.9203,8.229983,600.1996333,100.7571667,0.09998142,10.09573667,10.75982333,999.9,0,0,9998.695,402.9568333,200.6852667,-10.84529333,190.6894,201.0875,2.638598667,200.0035667,5.390467333,0.808986133,0.543128367,3.865965333,-1.669160333,1600.002667,0.6429999,0.357000133,11,26723.05,1728913525,7:45:25,1728913521,1728913525,18,-0.501,-0.054,4.271,-0.206,300,5,0.08,0.03,0,0,0,0,0,0,0,3.25111,2.78154,0.0521965,0.0566497,0.0571153,0.041783,24681.8,24185.3,24972.2,22787.2,34843.4,27853.7,40861.1,31549.7,1.89753,2.15068,0.107724,0,8.96089,999.9,39.6,17,7.64213,66.7053,13.6538,1,-1.15062,-0.510784,20.3721,5.23691,11.9261,4.9814,3.28298,9999,9999,9999,999.9,4.97141,1.86035,1.86584,1.85684,1.86166,1.8622,1.86308,1.85883,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.238,-0.2009,4.141599561,0.000678439,-9.11E-07,3.42E-10,-0.177565416,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,3.2,3.1,0.592041,2.3584,1.50024,2.323,1.4502,2.41821,19.7945,15.9533,19,310.964,429.786,10.0004,11.3848,29.9999,11.4029,11.3733,11.8905,32.9689,48.1232,10,200,5.34496,103.292,103.497
105,18252.9,10/15/24,c,radish,north,crn.2,y,12:13:49,15,0.001944596,1.944596383,18.50230692,391.1292258,292.6106679,29.43728679,39.34847378,0.338624875,3.105061146,0.307134238,0.194553254,284.7594112,14.54321606,14.19691613,1.624892343,64.47570821,0.996234908,1.545132168,0.628657435,-85.7567005,-129.6815838,-7.875916268,61.44521063,62,10,1,0,55677.59059,1599.996452,1361.133079,0.850710061,0.177975027,9,33,0: Broadleaf,2,1728929621,391.1292258,420.0157742,9.902711613,7.01548129,387.7352258,10.0685,600.1619032,100.5023226,0.09991111,13.42223548,14.19691613,999.9,0,0,10002.91968,405.8244194,1292.325806,-27.74766452,396.1915161,422.9831613,2.88723129,420.0157742,7.01548129,0.995245419,0.705071903,6.846957742,1.927345161,1599.996452,0.642999839,0.357000226,15,26722.96129,1728929652,12:14:12,1728929652,1728916237,103,-1.142,-0.037,3.394,-0.179,420,4,0.06,0.02,0,0,0,0,0,0,0,3.24593,2.78183,0.0945031,0.101697,0.0657846,0.0507821,23413.4,22797.5,24814.9,22572.5,34317.5,27322.3,40623.9,31243.5,2.24517,2.03978,0.0822246,0,12.8522,999.9,39.7,21.4,10.1043,63.521,15.8894,1,-0.835597,0.856242,20.3743,5.23466,11.9321,4.9798,3.282,9999,9999,9999,999.9,4.97139,1.86059,1.866,1.8571,1.86178,1.86235,1.86323,1.85913,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.394,-0.1657,4.386963803,0.000678439,-9.11E-07,3.42E-10,-0.153384799,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,11.3,223.2,1.05103,2.35107,1.50024,2.2998,1.4502,2.50366,23.2526,14.027,19,528.513,415.375,12.0019,15.9251,30.0006,15.9277,15.9321,21.066,33.7947,20.6004,12,420,7.08773,102.673,102.504
106,18396.9,10/15/24,c,radish,north,crn.2,y,12:16:13,15,0.002028176,2.028176296,19.76467261,765.0779677,651.3219131,65.52149005,76.96508814,0.356509339,3.103814001,0.321767345,0.203954216,284.7594853,14.74116577,14.39180323,1.64551858,65.07047168,1.019827413,1.567266052,0.625691168,-89.44257467,-125.6885395,-7.652993591,61.97537751,60,10,1,0,55604.4061,1599.996129,1361.132777,0.850710044,0.177975109,9,33,0: Broadleaf,2,1728929765,765.0779677,800.0428387,10.13768065,7.127093548,761.1889677,10.30165484,600.1665806,100.4976452,0.100060406,13.64067419,14.39180323,999.9,0,0,9997.639677,405.8416774,1028.769516,-35.46963548,772.4036129,805.7858065,3.010589032,800.0428387,7.127093548,1.018814194,0.716256613,7.188246452,2.147715806,1599.996129,0.642998548,0.357001452,16,26722.94839,1728929801,12:16:40,1728929801,1728916237,104,0.509,-0.037,3.889,-0.179,800,4,0.1,0.02,0,0,0,0,0,0,0,3.24546,2.7815,0.152403,0.15961,0.0668685,0.0513248,21906.5,21318.7,24803.8,22562.5,34264.3,27295.3,40607,31229.1,2.24515,2.03758,0.0739917,0,13.1591,999.9,39.9,21.4,10.1552,63.791,15.8333,1,-0.815386,1.0655,20.3728,5.23511,11.9321,4.9811,3.282,9999,9999,9999,999.9,4.97144,1.86066,1.86606,1.85715,1.86186,1.86242,1.86325,1.85913,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.889,-0.1639,3.245057743,0.000678439,-9.11E-07,3.42E-10,-0.153384799,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,2,225.6,1.7749,2.36328,1.50024,2.29858,1.4502,2.4646,23.7588,14.0007,19,531.115,416.242,12.0005,16.2076,30.0008,16.1489,16.1467,35.5421,33.383,20.605,12,800,7.06474,102.629,102.458
107,18545.4,10/15/24,c,radish,north,crn.2,y,12:18:41,15,0.002148206,2.14820572,19.79969911,565.5084194,457.8220812,46.05791495,56.89139897,0.373168643,3.103522947,0.335278094,0.212644071,284.7596459,14.90947106,14.56857097,1.664425782,64.7820495,1.028470712,1.587585943,0.63595507,-94.73587225,-122.0972462,-7.449599464,60.47692797,57,9,1,0,55558.94261,1599.997097,1361.133595,0.850710041,0.177975102,9,33,0: Broadleaf,2,1728929914,565.5084194,600.0205806,10.22314194,7.034665161,561.9904194,10.38645161,600.1674194,100.502,0.100213906,13.83883548,14.56857097,999.9,0,0,9995.865806,405.5304516,1228.988387,-34.12180645,571.7437097,604.2713548,3.188479355,600.0205806,7.034665161,1.027447097,0.706998161,7.311513871,1.965516452,1599.997097,0.642998645,0.357001355,16,26722.95484,1728929948,12:19:07,1728929948,1728916237,105,-0.389,-0.037,3.518,-0.179,600,4,0.05,0.02,0,0,0,0,0,0,0,3.24507,2.78228,0.123872,0.13136,0.0672313,0.0507596,22629.1,22023.8,24789.9,22552.8,34231.2,27299.6,40584.7,31215.6,2.24573,2.0316,0.0705272,0,13.3983,999.9,39.9,21.4,10.1549,63.331,16.0377,1,-0.791784,1.2639,20.3718,5.23466,11.9321,4.9807,3.282,9999,9999,9999,999.9,4.97146,1.86066,1.86615,1.85716,1.86188,1.86249,1.86325,1.85913,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.518,-0.1632,3.754228405,0.000678439,-9.11E-07,3.42E-10,-0.153384799,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,2,228.1,1.40015,2.34253,1.50024,2.2998,1.4502,2.48413,24.2664,13.9919,19,534.74,415.511,12.0013,16.533,30.0008,16.4242,16.4176,28.062,33.7996,20.6626,12,600,7.04767,102.572,102.414
108,18692.4,10/15/24,c,radish,north,crn.2,y,12:21:08,15,0.002217049,2.217049478,18.30014391,371.3135161,284.9389973,28.66248255,37.35103751,0.387920055,3.104837772,0.347158352,0.220292006,284.760113,14.97109114,14.64002903,1.672123008,65.07022292,1.038371861,1.595771175,0.633751148,-97.77188197,-120.8541461,-7.37643139,58.75765353,56,9,1,0,55575.65103,1599.999677,1361.135834,0.850710068,0.177975106,9,33,0: Broadleaf,2,1728930061,371.3135161,399.9905161,10.32264516,7.032322903,368.0415161,10.48515484,600.1683548,100.4915161,0.100129161,13.91802903,14.64002903,999.9,0,0,10002.96613,405.390871,1155.470645,-28.44058387,375.4254194,402.8233548,3.290323871,399.9905161,7.032322903,1.037337419,0.706688419,7.451628387,1.959384516,1599.999677,0.642998677,0.357001355,16.05914194,26723.00645,1728930102,12:21:41,1728930102,1728916237,106,-0.24,-0.037,3.272,-0.179,400,4,0.11,0.02,0,0,0,0,0,0,0,3.245,2.78108,0.0906066,0.0978286,0.0676714,0.050712,23476.4,22862.1,24778.6,22542.2,34199.1,27287.6,40567.1,31201,2.2427,2.02642,0.0679977,0,13.5165,999.9,39.7,21.4,10.1056,63.721,15.3446,1,-0.768913,1.37725,20.3711,5.23406,11.9321,4.9805,3.282,9999,9999,9999,999.9,4.97144,1.86066,1.86615,1.85721,1.86188,1.86249,1.86326,1.8592,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.272,-0.1624,3.365159176,0.000678439,-9.11E-07,3.42E-10,-0.153384799,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,2,230.5,1.0083,2.3645,1.50024,2.30103,1.4502,2.38525,24.7143,13.9657,19,536.134,415.269,12.0016,16.8329,30.0007,16.7053,16.6945,20.2025,33.6686,20.7665,12,400,6.97098,102.527,102.366
109,18846.4,10/15/24,c,radish,north,crn.2,y,12:23:42,15,0.002351953,2.351953381,10.0099019,184.3411613,139.2933821,14.0113164,18.54260624,0.408083339,3.105531413,0.363234891,0.230654846,284.7596975,15.1520835,14.85652581,1.69563462,65.08741936,1.053221278,1.618164137,0.642413342,-103.7211441,-121.1576677,-7.409969186,52.47091651,54,9,1,0,55551.01433,1599.998387,1361.134622,0.850709996,0.17797499,9,33,0: Broadleaf,2,1728930215,184.3411613,200.0023548,10.47059032,6.980491613,181.8501613,10.63187419,600.1533226,100.4884516,0.100077335,14.13287419,14.85652581,999.9,0,0,10006.46742,404.6787097,1135.034194,-14.93188065,187.0287419,201.4082903,3.490093871,200.0023548,6.980491613,1.052173548,0.701458871,7.659586774,1.855493871,1599.998387,0.643000129,0.356999871,17.3172,26723.00968,1728930243,12:24:02,1728930243,1728916237,107,-0.735,-0.037,2.491,-0.179,200,4,0.1,0.02,0,0,0,0,0,0,0,3.24457,2.78129,0.050424,0.0555592,0.0683266,0.0503792,24504.2,23925.3,24768.8,22534.3,34161.2,27286.6,40552.4,31189.6,2.24093,2.02035,0.0671335,0,13.7389,999.9,39.6,21.6,10.2039,63.5311,15.3726,1,-0.746783,1.54934,20.3692,5.23406,11.9321,4.98025,3.282,9999,9999,9999,999.9,4.97148,1.86073,1.86618,1.8573,1.86189,1.8625,1.86331,1.85928,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.491,-0.1613,3.125029102,0.000678439,-9.11E-07,3.42E-10,-0.153384799,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,2,233.1,0.5896,2.3877,1.50024,2.30103,1.4502,2.40479,25.2658,13.9482,19,538.415,414.639,12.0008,17.1316,30.0008,16.9953,16.9863,11.8269,34.3501,21.2407,12,200,6.95258,102.488,102.329
