Obs#,Time,Timepoint,Date,configName,configAuthor,Treatment,Veg,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
38,13:23:23,15,10/17/24,Albany,M Sturchio,Control,Radicchio,0.044166,2.922746,0.043509,0.731877,0.7688,0.754684,2.459058,1.690258,7.391832,7.530097,24.08551,0.29853,1.8,PSF-00495_20241017132323_c6d,0,0,0,279.587402,319.927094,0.12609,0.5,0.8,93.439545,1,34.31,33.68,19.25,20.76,20.76,102.1,156.8,157.7,-0.5,1853,3.631,13:20:04,10/17/24,-0.19,1,-0.001,-0.002,-9999,3.255,8.944,-9999,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.478752,2.422223,1.660616,0.937756,0.343321,0.016517,0.272874,1.664967,279.587402,0.000292,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017132323_c6d,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
24,9:23:05,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.288493,2.920858,0.26256,2.983037,0.770045,0.712437,1.914478,1.144433,6.979717,7.544101,18.756058,0.29853,1.8,PSF-00495_20241017092305_f6e,0,0,0,84.433434,96.843842,0.128149,0.5,0.8,92.105736,1,50.92,47.11,13.09,16.75,16.75,102.07,156.6,159.3,-1.7,1797,3.726,9:21:06,10/17/24,-0.17,1,-0.001,0.001,-0.015,0.168,0.142,0.199,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.500028,2.446313,1.658652,0.941755,0.439921,0.039376,0.19723,1.618083,84.433434,0.000288,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092305_f6e,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
32,9:29:54,11,10/17/24,Albany,M Sturchio,AV,Spinach,0.397554,2.920881,0.349926,3.240048,0.78937,0.72681,1.722883,0.933513,7.120299,7.733181,16.878477,0.29853,1.8,PSF-00495_20241017092954_eba,0,0,0,109.135147,125.567078,0.130862,0.5,0.8,98.585571,1,52.45,48.3,13.02,15.1,15.1,102.08,156.6,158.8,-1.4,1883,3.719,9:21:06,10/17/24,-0.17,1,-0.005,0.002,-0.013,-0.052,0.06,0.212,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.501769,2.448382,1.658675,0.940612,0.441245,0.022517,0.249493,1.690821,109.135147,0.000299,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092954_eba,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
12,9:15:09,11,10/17/24,Albany,M Sturchio,AV,Radish,0.241724,2.92262,0.223259,2.216119,0.73851,0.695755,1.739483,1.000973,6.815768,7.234599,17.040348,0.29853,1.8,PSF-00495_20241017091509_88a,0,0,0,140.625717,163.578278,0.140315,0.5,0.8,109.365433,1,49.38,46.52,12.92,15.25,15.25,102.08,156.8,158.7,-1.2,1949,3.74,9:10:24,10/17/24,-0.17,1,0.005,0.004,-9999,-0.202,-0.313,-9999,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.499215,2.444276,1.660485,0.940283,0.442962,0.025117,0.131303,1.7456,140.625717,0.000265,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017091509_88a,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
37,9:34:23,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.214118,2.921405,0.199497,2.320715,0.758994,0.714187,1.930851,1.171857,6.99623,7.435162,18.914757,0.29853,1.8,PSF-00495_20241017093423_400,0,0,0,90.995552,105.886818,0.140634,0.5,0.8,111.115578,1,50.46,47.48,13.01,16.89,16.89,102.08,156.7,158.8,-1.4,1975,3.714,9:32:53,10/17/24,-0.52,1,-0.002,-0.002,-0.016,-0.06,-0.007,-1.292,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.500582,2.446167,1.65922,0.940554,0.441364,0.04169,0.280395,1.768042,90.995552,0.000285,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017093423_400,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
5,9:12:28,11,10/17/24,Albany,M Sturchio,AV,Radish,0.323295,2.919181,0.291061,2.423852,0.724988,0.678079,1.565769,0.840782,6.640804,7.100205,15.334444,0.29853,1.8,PSF-00495_20241017091228_b2d,0,0,0,100.474838,117.00547,0.141281,0.5,0.8,75.172562,1,48.46,45.33,12.93,13.63,13.63,102.11,156.4,158.9,-1.6,1330,3.75,9:10:24,10/17/24,-0.17,1,0.001,-0.001,-9999,0.152,-0.289,-9999,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.497461,2.44303,1.656914,0.940909,0.442873,0.007953,0.10649,1.225846,100.474838,0.000275,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017091228_b2d,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
82,9:58:38,11,10/17/24,Albany,M Sturchio,Control,Radish,0.268648,2.922056,0.246029,2.739535,0.797225,0.744398,1.918379,1.121154,7.294804,7.812487,18.799345,0.29853,1.8,PSF-00495_20241017095838_e0a,0,0,0,82.863449,96.54808,0.141739,0.5,0.8,112.47345,1,47.44,44.3,14.72,16.79,16.79,102.04,156.7,151.8,3.2,1984,3.66,9:53:48,10/17/24,-0.33,1,-0.002,-0.003,0.02,-0.073,12.257,-6.425,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.495555,2.441492,1.659897,0.922896,0.412119,0.022451,0.437943,1.775227,82.863449,0.000287,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017095838_e0a,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
4,9:12:15,11,10/17/24,Albany,M Sturchio,AV,Radish,0.41582,2.92049,0.363994,3.404033,0.734262,0.668456,1.677918,0.943656,6.54633,7.190783,16.432215,0.29853,1.8,PSF-00495_20241017091215_a82,0,0,0,93.880173,109.394432,0.141819,0.5,0.8,107.255211,1,49.03,44.64,12.94,14.69,14.69,102.11,156.6,158.2,-1.1,1891,3.751,9:10:24,10/17/24,-0.17,1,-0.002,-0.001,0.016,0.053,-0.05,-0.306,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.496445,2.443799,1.658269,0.939098,0.442598,0.01898,0.104353,1.696964,93.880173,0.000268,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017091215_a82,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
2,9:11:48,11,10/17/24,Albany,M Sturchio,AV,Radish,0.55696,2.920179,0.467747,4.523252,0.762092,0.674669,1.737264,0.975172,6.608458,7.464776,17.016697,0.29853,1.8,PSF-00495_20241017091148_39f,0,0,0,99.80249,116.360306,0.142298,0.5,0.8,101.284531,1,50.77,44.95,12.98,15.23,15.23,102.09,156.5,159.1,-1.6,1779,3.753,9:10:24,10/17/24,-0.17,1,0.002,0,-9999,-0.076,-0.166,-9999,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.496892,2.446137,1.657947,0.941235,0.441958,0.024312,0.099918,1.603452,99.80249,0.000277,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017091148_39f,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
6,9:12:45,11,10/17/24,Albany,M Sturchio,AV,Radish,0.515409,2.920482,0.438094,3.705265,0.765599,0.69399,1.619171,0.853571,6.796173,7.497442,15.856385,0.29853,1.8,PSF-00495_20241017091245_b64,0,0,0,97.319481,113.726379,0.144266,0.5,0.8,83.203796,1,51.23,46.44,12.91,14.14,14.14,102.11,156.6,158.3,-1.1,1442,3.747,9:10:24,10/17/24,-0.17,1,-0.004,-0.003,-0.014,-0.049,0.126,-0.064,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.499093,2.446767,1.658261,0.939345,0.443156,0.013516,0.109192,1.319687,97.319481,0.000278,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017091245_b64,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
15,11:15:19,13,10/16/24,Albany,M Sturchio,AV,Radish,0.391876,2.920713,0.345517,4.539458,0.833058,0.746071,2.144903,1.311845,7.362135,8.220503,21.165623,0.29853,1.8,PSF-00495_20241016111519_778,0,0,0,95.264198,111.54628,0.145967,0.5,0.8,123.281876,1,48.4,43.35,15.09,18.56,18.56,101.34,156.6,157.9,-0.9,2111,3.897,11:06:51,10/16/24,-0.13,1,0,-0.005,0.005,-0.19,-0.363,-0.781,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.494072,2.442449,1.658501,0.938387,0.405992,0.03766,0.286054,1.882525,95.264198,0.000285,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241016111519_778,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
89,10:01:42,11,10/17/24,Albany,M Sturchio,Control,Radish,0.277902,2.919902,0.253751,3.12434,0.822234,0.761897,2.060971,1.238737,7.466007,8.057265,20.195946,0.29853,1.8,PSF-00495_20241017100142_a7c,0,0,0,132.426743,155.604965,0.148956,0.5,0.8,5.240777,1,48.46,44.9,14.87,17.92,17.92,102.05,156.5,156.9,-0.3,88,3.683,9:53:48,10/17/24,-0.33,1,0.006,0.004,0.02,-0.029,0.084,-0.448,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.496408,2.442838,1.65766,0.93587,0.409632,0.033102,0.45543,0.181711,132.426743,0.000293,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017100142_a7c,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
10,13:06:27,15,10/16/24,Albany,M Sturchio,Control,Radish,0.165278,2.919539,0.156423,1.677998,0.776485,0.744269,1.849935,1.07345,7.341382,7.659149,18.24753,0.29853,1.8,PSF-00495_20241016130627_4bd,0,0,0,261.584412,307.549591,0.149456,0.5,0.8,106.921066,1,40.83,39.14,16.65,16.22,16.22,101.38,156.4,154.7,1.1,1789,3.847,13:02:11,10/16/24,-0.24,1,0.002,-0.003,0.011,-2.717,-4.109,21.168,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.487489,2.431916,1.657284,0.930206,0.381262,-0.004331,0.216453,1.611064,261.584412,0.000278,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241016130627_4bd,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
33,9:30:48,11,10/17/24,Albany,M Sturchio,AV,Spinach,1.910895,2.91922,1.154905,9.047779,0.924856,0.750177,1.714136,0.78928,7.349827,9.061243,16.794186,0.29853,1.8,PSF-00495_20241017093048_36f,0,0,0,124.429466,146.310928,0.149555,0.5,0.8,103.340111,1,61.38,49.78,13.04,15.03,15.03,102.07,156.4,159.4,-1.9,1727,3.717,9:21:06,10/17/24,-0.17,1,0.006,-0.001,-0.045,-0.371,-0.424,-1.147,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503917,2.460116,1.656954,0.942185,0.440901,0.021474,0.256437,1.559761,124.429466,0.000288,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017093048_36f,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
73,9:55:53,11,10/17/24,Albany,M Sturchio,Control,Radish,0.12504,2.922556,0.11991,1.527946,0.77202,0.742558,2.054434,1.282414,7.276108,7.564797,20.1308,0.29853,1.8,PSF-00495_20241017095553_0ff,0,0,0,88.043335,103.566887,0.149889,0.5,0.8,107.047287,1,46.16,44.4,14.64,17.87,17.87,102.05,156.8,158.7,-1.2,1785,3.69,9:53:48,10/17/24,-0.33,1,0.002,0.003,-9999,0.111,0.038,-9999,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.49572,2.439764,1.660418,0.940328,0.413345,0.034956,0.421844,1.608491,88.043335,0.000279,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017095553_0ff,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
3,9:12:02,11,10/17/24,Albany,M Sturchio,AV,Radish,0.825004,2.92025,0.643272,5.25987,0.780961,0.679314,1.606077,0.825117,6.653171,7.648699,15.729857,0.29853,1.8,PSF-00495_20241017091202_e27,0,0,0,83.495018,98.238228,0.150076,0.5,0.8,99.632553,1,52.09,45.31,12.96,14.02,14.02,102.1,156.5,157,-0.3,1660,3.752,9:10:24,10/17/24,-0.17,1,0,-0.002,0.019,0.26,0.133,0.361,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.497425,2.447903,1.658021,0.935949,0.442263,0.011677,0.102191,1.502802,83.495018,0.000267,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017091202_e27,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
