location,season,plot_code_ 2025,plot_code_ 2024,treatment,block,row,sample_no,replicate _no,type,date_harvested,belowground_fresh_biomass_g,aboveground_fresh_biomass_g,head_fresh_biomass_g,total_canopy_fresh_biomass_g,marketable_haed,head diameter if any in mm,Head height if any in mm,Herbivory,Rot,general_damage,Internal_damage,root_dry_biomass_g,shoot_dry_biomass_g,head_dry_biomass_g,total_dry_biomass_g,root_shoot_ratio,partitioning_root,partitioning_shoot,belowground_biomass_moisture_%,aboveground_biomass_moisture_%,head_biomass_moisture_%,total_canopy_biomass_moisture_%,Notes
Northern,2024,C3,C5,Control,III,West,2,NULL,New Emergence,12/2/24,12.3,99.6,55.4,111.9,1,66,72,0,0,0,0,2.249,4.424,5.767,6.673,50.84%,33.70%,66.30%,81.72%,95.56%,89.59%,94.04%,NULL
Northern,2024,C3,C5,Control,III,West,3,NULL,7,12/2/24,16.6,178.1,86.4,194.7,1,73,79,0,0,0,NULL,3.279,7.517,8.701,10.796,43.62%,30.37%,69.63%,80.25%,95.78%,89.93%,94.46%,NULL
Northern,2024,C3,C5,Control,III,West,4,NULL,12,12/2/24,9.6,97.2,37.8,106.8,1,60,64,0,0,0,0,1.849,4.413,3.809,6.262,41.90%,29.53%,70.47%,80.74%,95.46%,89.92%,94.14%,NULL
Northern,2024,C3,C5,Control,III,West,5,NULL,20,12/2/24,11.9,111.8,54.1,123.7,1,62,70,0,0,0,0,2.076,5.103,5.426,7.179,40.68%,28.92%,71.08%,82.55%,95.44%,89.97%,94.20%,NULL
Northern,2024,C4,C7,Control,IV,East,1,1,Weedy Check,12/2/24,14.2,166.2,84.8,180.4,1,72,79,0,0,0,0,2.675,6.915,7.916,9.59,38.68%,27.89%,72.11%,81.16%,95.84%,90.67%,94.68%,NULL
Northern,2024,C4,C7,Control,IV,East,1,2,Weedy Check,12/2/1024,9.1,106.6,59.1,115.7,1,64,63,0,0,0,0,1.78,4.239,6.023,6.019,41.99%,29.57%,70.43%,80.44%,96.02%,89.81%,94.80%,NULL
Northern,2024,C4,C7,Control,IV,East,2,1,New Emergence,12/2/24,10.5,144.5,61.9,155,1,66,67,1,0,0,0,2.188,6.905,6.347,9.093,31.69%,24.06%,75.94%,79.16%,95.22%,89.75%,94.13%,NULL
Northern,2024,C4,C7,Control,IV,East,2,2,New Emergence,12/2/24,10.6,117.7,59,128.3,1,58,72,0,0,0,0,2.158,4.84,6.119,6.998,44.59%,30.84%,69.16%,79.64%,95.89%,89.63%,94.55%,NULL
Northern,2024,C4,C7,Control,IV,East,3,NULL,5,12/2/24,9.7,137.1,71.2,146.8,1,73,78,0,0,0,0,1.873,5.782,6.833,7.655,32.39%,24.47%,75.53%,80.69%,95.78%,90.40%,94.79%,NULL
Northern,2024,C4,C7,Control,IV,East,4,NULL,15,12/2/24,8.8,118.1,68.9,126.9,1,67,77,0,1,0,0,1.675,4.374,6.364,6.049,38.29%,27.69%,72.31%,80.97%,96.30%,90.76%,95.23%,small patch of rot 10x5mm on top leaf; all else excellent.
Northern,2024,C4,C7,Control,IV,East,5,NULL,18,12/2/24,6.9,99.4,67.4,106.3,1,62,68,0,0,0,0,1.364,2.761,6.259,4.125,49.40%,33.07%,66.93%,80.23%,97.22%,90.71%,96.12%,NULL
Northern,2024,C4,C7,Control,IV,West,1,1,Weedy Check,12/2/24,4.3,37.5,16.8,41.8,0,33,58,0,0,0,0,0.756,1.629,1.715,2.385,46.41%,31.70%,68.30%,82.42%,95.66%,89.79%,94.29%,too small
Northern,2024,C4,C7,Control,IV,West,1,2,Weedy Check,12/2/24,9.2,78.5,32.4,87.7,1,51,59,0,0,0,NULL,1.869,4.112,3.864,5.981,45.45%,31.25%,68.75%,79.68%,94.76%,88.07%,93.18%,NULL
Northern,2024,C4,C7,Control,IV,West,1,3,Weedy Check,12/2/24,13.1,98.1,55.6,111.2,1,65,63,0,0,1,0,2.541,3.696,5.529,6.237,68.75%,40.74%,59.26%,80.60%,96.23%,90.06%,94.39%,slight stem browning on outer leaf
Northern,2024,C4,C7,Control,IV,West,3,NULL,19,12/2/24,9.6,114.1,63.8,123.7,1,65,71,1,0,0,0,1.783,4.586,6.423,6.369,38.88%,27.99%,72.01%,81.43%,95.98%,89.93%,94.85%,NULL
Northern,2024,C4,C7,Control,IV,West,4,NULL,9,12/2/24,19.1,157.7,81.8,176.8,1,61,78,0,0,0,0,3.594,6.095,7.593,9.689,58.97%,37.09%,62.91%,81.18%,96.14%,90.72%,94.52%,NULL
Northern,2024,C4,C7,Control,IV,West,5,NULL,21,12/2/24,6.5,70.4,40.3,76.9,1,51,66,0,0,0,0,1.366,2.871,4.541,4.237,47.58%,32.24%,67.76%,78.98%,95.92%,88.73%,94.49%,NULL
Northern,2024,P5,P8,AV,I,East,1,1,Weedy Check,12/2/24,4.2,32.4,14.3,36.6,0,36,42,1,0,0,0,0.943,1.398,1.733,2.341,67.45%,40.28%,59.72%,77.55%,95.69%,87.88%,93.60%,unmarketably small
Northern,2024,P5,P8,AV,I,East,1,2,Weedy Check,12/2/24,5.3,22.6,9.4,27.9,0,31,43,0,0,0,0,0.964,1.867,1.28,2.831,51.63%,34.05%,65.95%,81.81%,91.74%,86.38%,89.85%,unmarketably small
Northern,2024,P5,P8,AV,I,East,2,1,New Emergence,12/2/24,4.8,34,15.8,38.8,0,37,50,0,0,0,0,0.919,1.823,1.938,2.742,50.41%,33.52%,66.48%,80.85%,94.64%,87.73%,92.93%,NULL
Northern,2024,P5,P8,AV,I,East,2,2,New Emergence,12/2/24,3.5,35.2,11.7,38.7,0,33.2,41,0,0,0,0,0.736,2.488,1.547,3.224,29.58%,22.83%,77.17%,78.97%,92.93%,86.78%,91.67%,NULL
Northern,2024,P5,P8,AV,I,East,3,NULL,3,12/2/24,2.5,18.2,9.2,20.7,0,25,42,0,0,0,0,0.576,1.141,1.223,1.717,50.48%,33.55%,66.45%,76.96%,93.73%,86.71%,91.71%,unmarketably small
Northern,2024,P5,P8,AV,I,East,4,NULL,9,12/2/24,2.4,18.2,8.6,20.6,0,32,49,0,0,0,0,0.585,1.551,1.186,2.136,37.72%,27.39%,72.61%,75.63%,91.48%,86.21%,89.63%,unmarketably small
Northern,2024,P5,P8,AV,I,East,5,NULL,11,12/2/24,1.9,15.4,9.3,17.3,0,24,45,0,0,0,0,0.438,1.026,1.246,1.464,42.69%,29.92%,70.08%,76.95%,93.34%,86.60%,91.54%,unmarketably small
Northern,2024,P5,P8,AV,I,West,6,NULL,Weedy Check,12/2/24,1.5,7.6,2.8,9.1,0,15,31,0,0,0,0,0.501,0.827,0.491,1.328,60.58%,37.73%,62.27%,66.60%,89.12%,82.46%,85.41%,unmarketably small
Northern,2024,P5,P8,AV,I,West,7,NULL,New Emergence,12/2/24,4.9,33,22.5,37.9,0,45,57,0,0,0,0,1.065,1.125,2.362,2.19,94.67%,48.63%,51.37%,78.27%,96.59%,89.50%,94.22%,unmarketably small
Northern,2024,P5,P8,AV,I,West,8,NULL,8,12/2/24,3,26.2,15.8,29.2,0,36,54,0,0,0,0,0.84,1.502,1.827,2.342,55.93%,35.87%,64.13%,72.00%,94.27%,88.44%,91.98%,"unmarketably small, bag actually says sample 3 and the following bags are 4 and 5"
Northern,2024,P5,P8,AV,I,West,9,NULL,10,12/2/24,5.8,42.3,18,48.1,0,46.2,52,0,0,0,0,1.187,2.623,1.998,3.81,45.25%,31.15%,68.85%,79.53%,93.80%,88.90%,92.08%,unmarketably small
Northern,2024,P5,P8,AV,I,West,10,NULL,19,12/2/24,0.7,3.8,2.9,4.5,0,9.3,30,0,0,0,0,0.263,0.187,0.518,0.45,140.64%,58.44%,41.56%,62.43%,95.08%,82.14%,90.00%,unmarketably small
Northern,2024,P6,P9,AV,II,East,2,NULL,New Emergence,12/2/24,3.4,25.5,7.2,28.9,0,24,46,0,0,0,0,0.651,2.231,1.048,2.882,29.18%,22.59%,77.41%,80.85%,91.25%,85.44%,90.03%,unmarketably small
Northern,2024,P6,P9,AV,II,East,3,NULL,8,12/2/24,6.7,51.4,24.2,58.1,0,50,59,0,0,0,0,1.307,3.113,2.442,4.42,41.99%,29.57%,70.43%,80.49%,93.94%,89.91%,92.39%,"unmarketably small, bag actually says sample 3 and the following bags are 4 and 5"
Northern,2024,P6,P9,AV,II,East,4,NULL,16,12/2/24,4.8,45.2,25.6,50,0,44,47,0,0,0,0,0.992,2.055,2.724,3.047,48.27%,32.56%,67.44%,79.33%,95.45%,89.36%,93.91%,unmarketably small
Northern,2024,P6,P9,AV,II,East,5,NULL,20,12/2/24,5.4,45.4,26.2,50.8,0,48,58,0,0,0,0,0.962,1.469,2.681,2.431,65.49%,39.57%,60.43%,82.19%,96.76%,89.77%,95.21%,unmarketably small
Northern,2024,P6,P9,AV,II,West,6,1,Weedy Check,12/2/24,1.6,11.9,5.2,13.5,0,19,41,0,0,1,0,0.303,0.641,0.607,0.944,47.27%,32.10%,67.90%,81.06%,94.61%,88.33%,93.01%,unmarketably small and slight browning
Northern,2024,P6,P9,AV,II,West,6,2,Weedy Check,12/2/24,3.8,32,14,35.8,0,32,44,0,0,0,0,0.685,1.715,1.425,2.4,39.94%,28.54%,71.46%,81.97%,94.64%,89.82%,93.30%,unmarketably small
Northern,2024,P6,P9,AV,II,West,6,3,Weedy Check,12/2/24,5.7,53.7,24.6,59.4,0,50,58,0,0,0,0,1.011,2.741,2.638,3.752,36.88%,26.95%,73.05%,82.26%,94.90%,89.28%,93.68%,unmarketably small
Northern,2024,P6,P9,AV,II,West,7,NULL,New Emergence,12/2/24,7.4,65.4,25.5,72.8,0,39,64,0,0,0,0,1.368,3.562,2.543,4.93,38.41%,27.75%,72.25%,81.51%,94.55%,90.03%,93.23%,unmarketably small
Northern,2024,P6,P9,AV,II,West,8,NULL,4,12/2/24,8.1,87.6,39.1,95.7,1,58,59,0,0,0,0,1.551,4.728,4.233,6.279,32.80%,24.70%,75.30%,80.85%,94.60%,89.17%,93.44%,bag actually says sample 3 and the following bags are 4 and 5
Northern,2024,P6,P9,AV,II,West,9,NULL,19,12/2/24,1.8,8.4,4.6,10.2,0,13,26,0,0,0,0,0.422,0.604,0.569,1.026,69.87%,41.13%,58.87%,76.56%,92.81%,87.63%,89.94%,unmarketably small
Northern,2024,P6,P9,AV,II,West,10,NULL,21,12/2/24,4.2,35.8,20.4,40,0,40,53,0,0,0,0,0.849,1.478,2.192,2.327,57.44%,36.48%,63.52%,79.79%,95.87%,89.25%,94.18%,unmarketably small
Northern,2024,P7,P10,AV,III,East,1,NULL,Weedy Check,12/2/24,10.9,69.1,28.7,80,0,61,57,1,0,0,0,2.051,4.399,3.371,6.45,46.62%,31.80%,68.20%,81.18%,93.63%,88.25%,91.94%,unmarketably small
Northern,2024,P7,P10,AV,III,East,2,NULL,New Emergence,12/2/24,6.8,72.8,23,79.6,0,44,37,0,3,0,0,1.137,3.846,1.939,4.983,29.56%,22.82%,77.18%,83.28%,94.72%,91.57%,93.74%,NULL
Northern,2024,P7,P10,AV,III,East,2,NULL,New Emergence,12/2/24,5.9,64.2,31.9,70.1,1,54,63,0,0,0,0,1.121,2.842,3.246,3.963,39.44%,28.29%,71.71%,81.00%,95.57%,89.82%,94.35%,NULL
Northern,2024,P7,P10,AV,III,East,3,NULL,7,12/2/24,6.4,44.1,12.1,50.5,0,29,40,0,3,0,0,0.979,2.989,0.855,3.968,32.75%,24.67%,75.33%,84.70%,93.22%,92.93%,92.14%,bag actually says sample 3 and the following bags are 4 and 5
Northern,2024,P7,P10,AV,III,East,4,NULL,10,12/2/24,6.6,53.9,23.5,60.5,0,52,62,0,0,0,0,1.223,3.164,2.531,4.387,38.65%,27.88%,72.12%,81.47%,94.13%,89.23%,92.75%,unmarketably small
Northern,2024,P7,P10,AV,III,East,5,NULL,21,12/2/24,6.3,40.6,17.8,46.9,0,39,53,0,0,0,0,1.253,2.863,2.352,4.116,43.77%,30.44%,69.56%,80.11%,92.95%,86.79%,91.22%,unmarketably small
Northern,2024,P7,P10,AV,III,West,6,NULL,Weedy Check,12/2/24,6,50.2,20.2,56.2,NULL,46,55,0,0,0,0,1.103,3.003,2.289,4.106,36.73%,26.86%,73.14%,81.62%,94.02%,88.67%,92.69%,NULL
Northern,2024,P7,P10,AV,III,West,6,1,New Emergence,12/2/24,12.2,115.7,61.5,127.9,1,71,76,0,0,0,0,2.032,4.611,5.565,6.643,44.07%,30.59%,69.41%,83.34%,96.01%,90.95%,94.81%,NULL
Northern,2024,P7,P10,AV,III,West,7,2,New Emergence,12/2/24,11.4,103.4,47.2,114.8,1,66,74,0,0,0,0,1.861,5.035,4.883,6.896,36.96%,26.99%,73.01%,83.68%,95.13%,89.65%,93.99%,NULL
Northern,2024,P7,P10,AV,III,West,3,NULL,8,12/2/24,8.7,73.7,37.9,82.4,1,57,72,0,0,0,0,1.555,3.388,4.034,4.943,45.90%,31.46%,68.54%,82.13%,95.40%,89.36%,94.00%,NULL
Northern,2024,P7,P10,AV,III,West,4,NULL,13,12/2/24,5.7,39.9,16.9,45.6,0,36,50,0,0,0,0,0.987,2.564,1.899,3.551,38.49%,27.79%,72.21%,82.68%,93.57%,88.76%,92.21%,originally duplicate sample 5
Northern,2024,P7,P10,AV,III,West,5,NULL,20,12/2/24,6.2,52.2,29.4,58.4,0,49,56,0,0,0,0,1.216,2.046,3.383,3.262,59.43%,37.28%,62.72%,80.39%,96.08%,88.49%,94.41%,actually p10 sample 5 west
Northern,2024,P8,P11,AV,IV,East,1,NULL,Weedy Check,12/2/24,6.7,75.4,29.7,82.1,1,44,68,NULL,NULL,NULL,NULL,1.114,3.774,3.298,4.888,29.52%,22.79%,77.21%,83.37%,94.99%,88.90%,94.05%,NULL
Northern,2024,P8,P11,AV,IV,East,2,1,New Emergence,12/2/24,5.4,68.4,31.4,73.8,1,49,65,0,0,0,0,0.99,3.143,3.176,4.133,31.50%,23.95%,76.05%,81.67%,95.40%,89.89%,94.40%,NULL
Northern,2024,P8,P11,AV,IV,East,2,2,New Emergence,12/2/24,4.7,70.3,42,75,1,51,70,0,0,0,0,0.952,3.213,4.047,4.165,29.63%,22.86%,77.14%,79.74%,95.43%,90.36%,94.45%,NULL
Northern,2024,P8,P11,AV,IV,East,3,NULL,8,12/2/24,8.4,88,46.1,96.4,1,55,77,0,0,0,0,1.472,4.136,4.792,5.608,35.59%,26.25%,73.75%,82.48%,95.30%,89.61%,94.18%,bag actually says sample 3 and the following bags are 4 and 5
Northern,2024,P8,P11,AV,IV,East,4,NULL,12,12/2/24,7.8,65,28.9,72.8,1,50,58,0,0,0,0,1.464,3.418,3.331,4.882,42.83%,29.99%,70.01%,81.23%,94.74%,88.47%,93.29%,small but nice
Northern,2024,P8,P11,AV,IV,East,5,NULL,20,12/2/24,8.5,63.4,27.2,71.9,0,50,53,0,0,0,0,1.394,3.069,2.765,4.463,45.42%,31.23%,68.77%,83.60%,95.16%,89.83%,93.79%,head unmarketably small
Northern,2024,P8,P11,AV,IV,West,6,1,Weedy Check,12/2/24,7.6,62.3,23.3,69.9,0,44,58,0,1,0,0,1.42,3.812,2.573,5.232,37.25%,27.14%,72.86%,81.32%,93.88%,88.96%,92.52%,head unmarketably small
Northern,2024,P8,P11,AV,IV,West,6,2,Weedy Check,12/2/24,8,69.3,33.6,77.3,0,54,57,0,0,0,0,1.423,3.489,3.551,4.912,40.79%,28.97%,71.03%,82.21%,94.97%,89.43%,93.65%,head unmarketably small
Northern,2024,P8,P11,AV,IV,West,7,1,New Emergence,12/2/24,7.5,56.5,32.8,64,0,54,58,0,0,0,0,1.566,2.388,3.703,3.954,65.58%,39.61%,60.39%,79.12%,95.77%,88.71%,93.82%,"insufficient head formation, too small"
Northern,2024,P8,P11,AV,IV,West,7,2,New Emergence,12/2/24,4.2,35.9,12.9,40.1,0,33,46,0,0,0,0,0.804,2.459,1.518,3.263,32.70%,24.64%,75.36%,80.86%,93.15%,88.23%,91.86%,unmarketably small
Northern,2024,P8,P11,AV,IV,West,8,NULL,7,12/2/24,5.6,64.6,33.2,70.2,1,50,59,0,0,0,0,1.115,3.492,3.466,4.607,31.93%,24.20%,75.80%,80.09%,94.59%,89.56%,93.44%,bag actually says sample 3 and the following bags are 4 and 5
Northern,2024,P8,P11,AV,IV,West,9,NULL,9,12/2/24,4.5,59.8,26.4,64.3,1,49,68,0,0,0,0,0.872,2.341,3.859,3.213,37.25%,27.14%,72.86%,80.62%,96.09%,85.38%,95.00%,NULL
Northern,2024,P8,P11,AV,IV,West,10,NULL,15,12/2/24,8.1,89.8,46.8,97.9,1,59,69,0,0,0,0,1.524,3.538,4.554,5.062,43.08%,30.11%,69.89%,81.19%,96.06%,90.27%,94.83%,NULL
