plot.code.2024,plot.code.2025,row,type,date,marketability,treatment,number,shoot.mass,root.mass ,smallest.diameter,largest.diameter,herbivory,splitting,pitting,chambering,russeting,foliage.herbivory,too.small,notes,dhoot.dry.biomass,root.dry.biomass
C2,C1,East,Standard,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,Center,Standard,11/5/24,Marketable,Control,3,14.9,29.8,0.8,0.9,0,0,0,0,2,0,,,1.605,2.992
C2,C1,Center,Standard,11/5/24, Unmarketable,Control,1,6.1,14,0.8,0.8,0,1,0,0,1,0,,,0.717,1.491
C2,C1,West,Standard,11/5/24,Marketable,Control,0,,,,,0,0,0,0,0,0,,,,
C2,C1,West,Standard,11/5/24, Unmarketable,Control,0,,,,,0,0,0,0,0,0,,,,
C2,C1,East,Weedy Check,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C2,C1,East,Weedy Check,11/12/24,Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,Center,Weedy Check,11/12/24,Marketable,Control,1,1.7,3.6,0.7,0.7,0,1,0,,1,0,,,0.224,0.378
C2,C1,Center,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,West,Weedy Check,11/12/24,Marketable,Control,1,1.4,4.4,0.8,0.8,0,0,0,0,0,1,,,0.176,0.296
C2,C1,West,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,East,New Emergence,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C2,C1,East,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,Center,New Emergence,11/12/24,Marketable,Control,2,8.6,13.6,0.7,0.8,0,0,0,0,2,0,,,0.516,1.167
C2,C1,Center,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,West,New Emergence,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C2,C1,West,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,East,Standard,11/12/24,Marketable,Control,1,4.1,13.7,1.2,1.2,0,0,0,0,1,0,,,0.982,1.372
C2,C1,East,Standard,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,Center,Standard,11/12/24,Marketable,Control,1,2,3.7,0.7,0.7,0,0,0,0,1,0,,,0.279,0.404
C2,C1,Center,Standard,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,West,Standard,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C2,C1,West,Standard,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,East,Weedy Check,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C2,C1,East,Weedy Check,12/2/24,Unmarketable,Control,3,6.3,9.3,0.45,0.83,1,,,,3,,,,0.847,0.892
C2,C1,East,Weedy Check,12/2/24,Too small,Control,2,1.2,1.2,,,,,,,,,,,0.242,0.188
C2,C1,Center,Weedy Check,12/2/24,Marketable,Control,1,3.2,6.8,0.84,0.84,,,,,,,,,0.432,0.595
C2,C1,Center,Weedy Check,12/2/24, Unmarketable,Control,2,1.5,1.3,0.19,0.34,,,,,1,,,,0.187,0.14
C2,C1,Center,Weedy Check,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C2,C1,West,Weedy Check,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C2,C1,West,Weedy Check,12/2/24, Unmarketable,Control,7,7.2,13.7,,,4,,,,5,,,,0.984,1.229
C2,C1,West,Weedy Check,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C2,C1,East,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C2,C1,East,New Emergence,12/2/24, Unmarketable,Control,8,10.7,11.9,0.25,0.68,3,,,,5,,,,1.363,1.297
C2,C1,East,New Emergence,12/2/24,Too small,Control,1,0.8,0.2,,,,,,,,,,,0.124,0.034
C2,C1,Center,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C2,C1,Center,New Emergence,12/2/24, Unmarketable,Control,2,2.7,3.2,0.36,0.56,1,,,,2,,,,0.568,0.417
C2,C1,Center,New Emergence,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C2,C1,West,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C2,C1,West,New Emergence,12/2/24, Unmarketable,Control,5,10.6,5.5,0.23,0.32,1,,,,5,,,,1.381,0.777
C2,C1,West,New Emergence,12/2/24,Too small,Control,1,0.3,0.3,,,,,,,,,,,0.071,0.039
C2,C1,East,Standard,12/2/24,Marketable,Control,0,,,,,,,,,,,,,,
C2,C1,East,Standard,12/2/24, Unmarketable,Control,4,5.5,6.7,0.37,0.55,2,,,,4,,,,0.767,0.722
C2,C1,East,Standard,12/2/24,Too small,Control,3,2.3,1.4,,,,,,,,,,,0.377,0.242
C2,C1,Center,Standard,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C2,C1,Center,Standard,12/2/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,Center,Standard,12/2/24,Too small,Control,1,0.8,0.1,,,,,,,,,,some of root cut off,0.294,0.065
C2,C1,West,Standard,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C2,C1,West,Standard,12/2/24, Unmarketable,Control,3,3.7,2.4,0.25,0.33,,,,,3,,,,0.661,0.339
C2,C1,West,Standard,12/2/24,Too small,Control,3,2,",7",,,,,,,,,,,0.425,0.184
C3,C2,East,Weedy Check,10/29/24,Marketable,Control,3,42.6,107.5,1.2,1.7,2,1,1,,2,,,large one has a split but would probably be marketable if smaller,4.2,9.4
C3,C2,East,Weedy Check,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,Center,Weedy Check,10/29/24,Marketable,Control,5,90.1,237.7,1.2,1.9,,2,,2,2,,,Cabbage looper foind on sample.  Splitting from bottom.  Cavitying in largest and smllest one,7.9,16.9
C3,C2,Center,Weedy Check,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,West,Weedy Check,10/29/24,Marketable,Control,5,37.1,100.6,1.2,1.3,1,1,,,4,,,,3.6,7.9
C3,C2,West,Weedy Check,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,East,New Emergence,10/29/24,Marketable,Control,1,9.2,30.8,1.2,1.2,,,,,1,,,,0.9,2.7
C3,C2,East,New Emergence,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,Center,New Emergence,10/29/24,Marketable,Control,5,111.3,282.5,1.1,2.2,1,1,,1,4,,,largest one is split at bottom,9.6,19.7
C3,C2,Center,New Emergence,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,West,New Emergence,10/29/24,Marketable,Control,3,26.7,74.8,1.2,1.4,,,,1,,,,,2.7,5.3
C3,C2,West,New Emergence,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,East,Standard,10/29/24,Marketable,Control,2,28.8,124.7,1.4,2.1,,1,1,1,2,,,severe cavitying,2.5,8.1
C3,C2,East,Standard,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,Center,Standard,10/29/24,Marketable,Control,2,33.5,89.6,1.4,1.8,,,,,1,,,,3.1,5.9
C3,C2,Center,Standard,10/29/24, Unmarketable,Control,2,45.7,110.3,1.9,2,1,2,,,2,,,,4,8.5
C3,C2,West,Standard,10/29/24,Marketable,Control,4,46.3,118.1,1,1.7,,,,,1,,,,4.3,9.4
C3,C2,West,Standard,10/29/24, Unmarketable,Control,1,14,24.9,1.1,1.1,,,,,1,,,,1.3,1.8
C3,C2,East,Weedy Check,11/5/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,East,Weedy Check,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,Weedy Check,11/5/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,Weedy Check,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,Weedy Check,11/5/24,Marketable,Control,2,10.6,29.4,1,1.2,0,0,0,0,2,0,,,1.151,2.391
C3,C2,West,Weedy Check,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,East,New Emergence,11/5/24,Marketable,Control,1,2.3,7.3,0.8,0.8,0,0,0,0,1,0,,,0.274,0.737
C3,C2,East,New Emergence,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,New Emergence,11/5/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,New Emergence,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,New Emergence,11/5/24,Marketable,Control,1,6.6,18,1.1,1.1,0,0,0,0,1,0,,,0.919,1.559
C3,C2,West,New Emergence,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C3,C2,East,Standard,11/5/24,Marketable,Control,1,2.5,9.3,1.1,1.1,0,0,0,0,1,0,,,0.305,0.939
C3,C2,East,Standard,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,Standard,11/5/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,Standard,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,Standard,11/5/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,Standard,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,East,Weedy Check,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,East,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,Weedy Check,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,Weedy Check,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,East,New Emergence,11/12/24,Marketable,Control,2,5.1,13.6,0.9,0.9,0,0,0,1,1,0,,c3 shoot bag mislabeled as c4 root,0.554,1.311
C3,C2,East,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,Center,New Emergence,11/12/24,Marketable,Control,1,5.2,14.3,1.1,1.1,0,0,0,0,1,0,,,0.577,1.039
C3,C2,Center,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,New Emergence,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,East,Standard,11/12/24,Marketable,Control,3,8.6,22.8,0.9,1,1,0,0,0,1,0,,,0.931,1.955
C3,C2,East,Standard,11/12/24, Unmarketable,Control,1,2.8,9.3,1,1,0,0,0,0,1,0,,,0.297,0.999
C3,C2,Center,Standard,11/12/24,Marketable,Control,1,3.7,8.3,1,1,1,0,0,0,0,0,,,0.394,0.639
C3,C2,Center,Standard,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,West,Standard,11/12/24,Marketable,Control,1,2.6,7,0.8,0.8,0,0,0,0,1,0,,,0.335,0.774
C3,C2,West,Standard,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C3,C2,East,Weedy Check,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C3,C2,East,Weedy Check,12/2/24, Unmarketable,Control,9,12.8,17,0.23,0.75,2,,,,5,,,,1.551,1.817
C3,C2,East,Weedy Check,12/2/24,Too small,Control,4,3.7,1.4,,,,,,,,,,,0.518,0.206
C3,C2,Center,Weedy Check,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C3,C2,Center,Weedy Check,12/2/24, Unmarketable,Control,3,3.9,2.5,0.28,0.3,,,,,3,,,,0.677,0.385
C3,C2,Center,Weedy Check,12/2/24,Too small,Control,2,1.1,0.4,,,,,,,,,,,0.203,0.071
C3,C2,West,Weedy Check,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C3,C2,West,Weedy Check,12/2/24, Unmarketable,Control,3,3.5,5.5,0.23,0.52,1,,,,3,,,,0.615,0.571
C3,C2,West,Weedy Check,12/2/24,Too small,Control,3,2.8,1.1,,,,,,,,,,,0.447,0.165
C3,C2,East,New Emergence,12/2/24,Marketable,Control,2,6.2,18.2,0.87,1.1,1,,,,1,,,,0.801,1.755
C3,C2,East,New Emergence,12/2/24, Unmarketable,Control,2,2.8,12.5,0.83,0.91,1,,,,2,,,,0.421,0.981
C3,C2,East,New Emergence,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C3,C2,Center,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C3,C2,Center,New Emergence,12/2/24, Unmarketable,Control,2,3.1,4.5,0.44,0.6,1,,,,2,,,,0.676,0.432
C3,C2,Center,New Emergence,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C3,C2,West,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C3,C2,West,New Emergence,12/2/24, Unmarketable,Control,5,9.9,12,0.28,0.71,1,,,,5,,,,1.398,1.329
C3,C2,West,New Emergence,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C3,C2,East,Standard,12/2/24,Marketable,Control,1,2.6,4.5,0.72,0.72,,,,,,,,,0.332,0.486
C3,C2,East,Standard,12/2/24, Unmarketable,Control,2,5.4,7.6,0.39,0.81,1,2,,,2,,,,0.687,0.778
C3,C2,East,Standard,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C3,C2,Center,Standard,12/2/24,Marketable,Control,1,1.2,0.82,,,,,,,5.5,,,,0.253,0.509
C3,C2,Center,Standard,12/2/24, Unmarketable,Control,1,1,1.7,0.56,0.56,1,,,,,,,,0.147,0.169
C3,C2,Center,Standard,12/2/24,Too small,Control,1,0.4,0.1,,,,,,,,,,,0.065,0.026
C3,C2,West,Standard,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C3,C2,West,Standard,12/2/24, Unmarketable,Control,3,3.4,2.3,0.28,0.3,1,,,,3,,,,0.605,0.33
C3,C2,West,Standard,12/2/24,Too small,Control,4,3.6,1.4,,,,,,,,,,,0.651,0.278
C4,C3,East,Weedy Check,10/29/24,Marketable,Control,4,40.1,114.4,0.9,1.6,1,,,,2,,,,3.5,8.4
C4,C3,East,Weedy Check,10/29/24, Unmarketable,Control,1,11.5,40.7,1.4,1.4,,1,,,1,,,,1,3.6
C4,C3,Center,Weedy Check,10/29/24,Marketable,Control,5,72.8,162.9,1.3,1.9,,,,,2,,,,6.4,11.7
C4,C3,Center,Weedy Check,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C4,C3,West,Weedy Check,10/29/24,Marketable,Control,4,84.7,181.7,1.2,1.8,,2,,,3,,,,7.7,12.8
C4,C3,West,Weedy Check,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C4,C3,East,New Emergence,10/29/24,Marketable,Control,5,41.3,123.1,1,1.5,1,2,,,3,,,,3.7,9.3
C4,C3,East,New Emergence,10/29/24, Unmarketable,Control,1,10,30.9,1.5,1.5,,1,,,1,,,,0.9,2.3
C4,C3,Center,New Emergence,10/29/24,Marketable,Control,1,12.6,38.3,1.5,1.5,1,,,,1,,,,1.2,3
C4,C3,Center,New Emergence,10/29/24, Unmarketable,Control,2,24.1,101,1.7,1.8,2,,,,,,,Hole bored into radish (some sort of boring insect),2.1,6
C4,C3,West,New Emergence,10/29/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,West,New Emergence,10/29/24, Unmarketable,Control,1,12.7,22.2,1.4,1.4,1,,,,1,,,,1.4,1.8
C4,C3,East,Standard,10/29/24,Marketable,Control,4,65.9,118.4,1.2,1.6,1,,,,4,,,,5.6,8.2
C4,C3,East,Standard,10/29/24, Unmarketable,Control,1,10.1,38.6,1.6,1.6,1,,,,,,,,0.8,2.5
C4,C3,Center,Standard,10/29/24,Marketable,Control,4,33.2,94.5,0.9,1.5,2,,,,2,,,,3.1,6.8
C4,C3,Center,Standard,10/29/24, Unmarketable,Control,1,26.2,70.7,2.2,2.2,1,,,,,,,,2.2,4.4
C4,C3,West,Standard,10/29/24,Marketable,Control,4,75.1,169.6,1,1.9,1,2,,,2,,,,6.4,10.9
C4,C3,West,Standard,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C4,C3,East,Weedy Check,11/5/24,Marketable,Control,0,,,,,,,,,,,,,,
C4,C3,East,Weedy Check,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,Center,Weedy Check,11/5/24,Marketable,Control,1,5,16.6,1.1,1.1,0,0,0,0,1,0,,,0.618,1.698
C4,C3,Center,Weedy Check,11/5/24, Unmarketable,Control,,,,,,0,0,0,0,1,0,,no unmark in bag,,
C4,C3,West,Weedy Check,11/5/24,Marketable,Control,1,8.1,8.5,1,1,0,0,0,0,1,0,,,0.901,0.921
C4,C3,West,Weedy Check,11/5/24, Unmarketable,Control,1,5.6,9,0.8,0.8,,,,,,,,,0.598,0.789
C4,C3,East,New Emergence,11/5/24,Marketable,Control,0,,,,,,,,,,,,,,
C4,C3,East,New Emergence,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,Center,New Emergence,11/5/24,Marketable,Control,3,11.2,26.6,1,1.1,0,0,0,0,0,0,,,1.218,2.242
C4,C3,Center,New Emergence,11/5/24, Unmarketable,Control,2,13.9,33.5,0.9,1.1,1,1,0,0,0,0,,,1.127,2.639
C4,C3,West,New Emergence,11/5/24,Marketable,Control,1,5.4,7,0.8,0.8,0,0,0,0,1,0,,,0.558,0.621
C4,C3,West,New Emergence,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C4,C3,East,Standard,11/5/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,East,Standard,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C4,C3,Center,Standard,11/5/24,Marketable,Control,1,5.2,9,0.8,0.8,0,0,0,0,1,0,,,0.626,0.937
C4,C3,Center,Standard,11/5/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,West,Standard,11/5/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,West,Standard,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C4,C3,East,Weedy Check,11/12/24,Marketable,Control,1,4,5.4,0.8,0.8,0,0,0,0,1,0,,,0.533,0.707
C4,C3,East,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,Center,Weedy Check,11/12/24,Marketable,Control,1,2.5,4.8,0.7,0.7,0,0,0,0,1,0,,,0.362,0.554
C4,C3,Center,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,West,Weedy Check,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C4,C3,West,Weedy Check,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,East,New Emergence,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C4,C3,East,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,Center,New Emergence,11/12/24,Marketable,Control,1,6.9,20.4,1.3,1.3,1,0,0,0,1,0,,,0.701,1.621
C4,C3,Center,New Emergence,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,West,New Emergence,11/12/24,Marketable,Control,7,30.6,58.5,0.8,1.1,0,0,0,0,6,0,,,2.805,2.876
C4,C3,West,New Emergence,11/12/24, Unmarketable,Control,2,10.4,22,0.9,1,0,0,0,0,2,0,,,1.016,1.876
C4,C3,East,Standard,11/12/24,Marketable,Control,2,11.8,20.7,0.9,1.2,1,0,0,0,1,0,,,1.182,1.651
C4,C3,East,Standard,11/12/24, Unmarketable,Control,1,8.1,10.3,1,1,0,0,0,0,1,0,,,0.849,0.822
C4,C3,Center,Standard,11/12/24,Marketable,Control,0,,,,,,,,,,,,,,
C4,C3,Center,Standard,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,West,Standard,11/12/24,Marketable,Control,1,5.3,5.7,0.6,0.6,0,0,0,0,0,0,,,0.589,0.543
C4,C3,West,Standard,11/12/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C4,C3,East,Weedy Check,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,East,Weedy Check,12/2/24, Unmarketable,Control,5,7.7,14.5,0.32,0.75,1,1,,,3,,,,1.174,1.365
C4,C3,East,Weedy Check,12/2/24,Too small,Control,3,2.4,0.7,,,,,,,,,,,0.427,0.117
C4,C3,Center,Weedy Check,12/2/24,Marketable,Control,1,1.8,6.3,0.89,0.89,,,,,1,,,,0.247,0.568
C4,C3,Center,Weedy Check,12/2/24, Unmarketable,Control,7,23.5,21.8,0.29,0.85,,,,,,,,,3.247,2.388
C4,C3,Center,Weedy Check,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C4,C3,West,Weedy Check,12/2/24,Marketable,Control,2,2.9,7,0.49,0.77,,1,,,2,,,,,
C4,C3,West,Weedy Check,12/2/24, Unmarketable,Control,1,0.8,0.3,,,,,,,,,,,0.596,0.719
C4,C3,West,Weedy Check,12/2/24,Too small,Control,,,,,,,,,,,,,,0.184,0.067
C4,C3,East,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,East,New Emergence,12/2/24, Unmarketable,Control,4,3,3.5,0.28,0.42,1,2,,,4,,,,0.519,0.425
C4,C3,East,New Emergence,12/2/24,Too small,Control,1,0.4,0.2,,,,,,,,,,,0.083,0.025
C4,C3,Center,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,Center,New Emergence,12/2/24, Unmarketable,Control,2,2.5,9.8,0.55,0.77,1,1,,,2,,,,0.504,0.852
C4,C3,Center,New Emergence,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C4,C3,West,New Emergence,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,West,New Emergence,12/2/24, Unmarketable,Control,3,4.8,7,0.38,0.72,1,,,,3,,,,0.801,0.833
C4,C3,West,New Emergence,12/2/24,Too small,Control,,,,,,,,,,,,,,,
C4,C3,East,Standard,12/2/24,Marketable,Control,,,,,,,,,,,,,,,
C4,C3,East,Standard,12/2/24, Unmarketable,Control,6,16,13.6,0.36,0.9,1,1,,,5,,,,1.945,1.822
C4,C3,East,Standard,12/2/24,Too small,Control,1,2.7,0.4,,,,,,,,,,,0.295,0.047
C4,C3,Center,Standard,12/2/24,Marketable,Control,1,2.6,5.2,0.85,0.85,,,,,1,,,,0.387,0.447
C4,C3,Center,Standard,12/2/24, Unmarketable,Control,5,14.8,14.3,0.35,0.73,1,2,,,5,,,,2.024,1.671
C4,C3,Center,Standard,12/2/24,Too small,Control,1,0.7,0.1,,,,,,,,,,,,
C4,C3,West,Standard,12/2/24,Marketable,Control,2,6.8,11.9,0.72,0.85,,,,,2,,,,0.904,1.045
C4,C3,West,Standard,12/2/24, Unmarketable,Control,1,1.9,3,0.75,0.75,,,,,1,,,,0.228,0.242
C4,C3,West,Standard,12/2/24,Too small,Control,,,,,,,,,,,,,,0.073,0.014
P8,P5,East,Weedy Check,10/29/24,Marketable,PV,,,,,,,,,,,,,,,
P8,P5,East,Weedy Check,10/29/24, Unmarketable,PV,1,9.9,15.4,1.1,1.1,1,,,,1,,,,1,1.2
P8,P5,Center,Weedy Check,10/29/24,Marketable,PV,0,,,,,,,,,,,,,,
P8,P5,Center,Weedy Check,10/29/24, Unmarketable,PV,0,,,,,,,,,,,,,,
P8,P5,West,Weedy Check,10/29/24,Marketable,PV,,,,,,,,,,,,,,,
P8,P5,West,Weedy Check,10/29/24, Unmarketable,PV,2,17,18.1,0.8,0.9,1,,,,2,,,,1.6,1.5
P8,P5,East,New Emergence,10/29/24,Marketable,PV,,,,,,,,,,,,,,,
